"",BBK01.OEHB12M,BBK01.OEHB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:00,
2002-01,7.733,
2002-04,7.877,
2002-07,7.973,
2002-10,8.094,
2003-01,8.186,
2003-04,8.236,
2003-07,8.318,
2003-10,8.522,
2004-01,8.466,
2004-04,8.516,
2004-07,8.547,
2004-10,8.506,
2005-01,8.388,
2005-04,8.457,
2005-07,8.263,
2005-10,8.401,
2006-01,8.349,
2006-04,8.454,
2006-07,8.554,
2006-10,8.685,
2007-01,8.635,
2007-04,8.658,
2007-07,8.778,
2007-10,8.946,
2008-01,9.056,
2008-04,9.264,
2008-07,9.630,
2008-10,9.857,
2009-01,9.935,
2009-04,10.132,
2009-07,10.130,
2009-10,10.274,
2010-01,10.311,
2010-04,10.480,
2010-07,10.594,
2010-10,10.880,
2011-01,10.994,
2011-04,11.144,
2011-07,11.298,
2011-10,11.468,
2012-01,11.479,
2012-04,11.597,
2012-07,11.675,
2012-10,11.804,
2013-01,11.885,
2013-04,11.955,
2013-07,12.223,
2013-10,12.429,
2014-01,12.425,
2014-04,12.605,
2014-07,12.735,
