"",BBK01.OEYB16L,BBK01.OEYB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:11,
2002-01,16.243,
2002-04,15.668,
2002-07,15.873,
2002-10,15.841,
2003-01,17.160,
2003-04,17.207,
2003-07,18.282,
2003-10,17.480,
2004-01,16.918,
2004-04,17.316,
2004-07,17.013,
2004-10,16.475,
2005-01,15.621,
2005-04,15.180,
2005-07,14.753,
2005-10,13.357,
2006-01,12.747,
2006-04,11.885,
2006-07,11.898,
2006-10,11.378,
2007-01,10.901,
2007-04,11.335,
2007-07,12.412,
2007-10,11.909,
2008-01,11.488,
2008-04,10.970,
2008-07,10.437,
2008-10,10.478,
2009-01,10.080,
2009-04,9.770,
2009-07,9.438,
2009-10,9.016,
2010-01,8.766,
2010-04,8.542,
2010-07,8.193,
2010-10,7.880,
2011-01,7.423,
2011-04,7.171,
2011-07,6.807,
2011-10,6.522,
2012-01,6.306,
2012-04,6.055,
2012-07,5.748,
2012-10,5.443,
2013-01,5.293,
2013-04,5.058,
2013-07,4.957,
2013-10,4.733,
2014-01,4.576,
2014-04,4.440,
2014-07,4.372,
