"",BBK01.OELB06O,BBK01.OELB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:29,
2002-01,3.473,
2002-04,3.509,
2002-07,3.503,
2002-10,3.389,
2003-01,3.384,
2003-04,3.371,
2003-07,3.336,
2003-10,3.210,
2004-01,3.147,
2004-04,3.173,
2004-07,3.111,
2004-10,3.045,
2005-01,3.033,
2005-04,2.900,
2005-07,2.910,
2005-10,2.818,
2006-01,2.789,
2006-04,2.818,
2006-07,2.757,
2006-10,2.611,
2007-01,2.603,
2007-04,2.647,
2007-07,2.620,
2007-10,2.550,
2008-01,2.594,
2008-04,2.599,
2008-07,2.578,
2008-10,2.596,
2009-01,2.671,
2009-04,2.628,
2009-07,2.592,
2009-10,2.504,
2010-01,2.511,
2010-04,2.575,
2010-07,2.503,
2010-10,2.442,
2011-01,2.445,
2011-04,2.498,
2011-07,2.449,
2011-10,2.321,
2012-01,2.397,
2012-04,2.410,
2012-07,2.364,
2012-10,2.359,
2013-01,2.476,
2013-04,2.472,
2013-07,2.432,
2013-10,2.330,
2014-01,2.453,
2014-04,2.536,
2014-07,2.457,
