"",BBK01.PQL351,BBK01.PQL351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:51,
1958-10,1.952,
1959-01,-,Nothing exists
1959-04,2.153,
1959-07,-,Nothing exists
1959-10,2.269,
1960-01,-,Nothing exists
1960-04,2.514,
1960-07,-,Nothing exists
1960-10,2.603,
1961-01,-,Nothing exists
1961-04,2.871,
1961-07,-,Nothing exists
1961-10,2.904,
1962-01,-,Nothing exists
1962-04,3.238,
1962-07,-,Nothing exists
1962-10,3.231,
1963-01,-,Nothing exists
1963-04,3.638,
1963-07,-,Nothing exists
1963-10,3.622,
1964-01,-,Nothing exists
1964-04,3.967,
1964-07,-,Nothing exists
1964-10,3.986,
1965-01,4.165,
1965-04,4.394,
1965-07,4.480,
1965-10,4.700,
1966-01,4.922,
1966-04,5.221,
1966-07,5.265,
1966-10,5.279,
1967-01,5.328,
1967-04,5.541,
1967-07,5.522,
1967-10,5.610,
1968-01,5.709,
1968-04,5.922,
1968-07,5.915,
1968-10,6.192,
1969-01,6.438,
1969-04,6.783,
1969-07,6.908,
1969-10,7.304,
1970-01,7.679,
1970-04,8.067,
1970-07,8.129,
1970-10,8.339,
1971-01,8.504,
1971-04,9.009,
1971-07,9.233,
1971-10,9.578,
1972-01,9.859,
1972-04,10.470,
1972-07,10.818,
1972-10,11.509,
1973-01,11.809,
1973-04,12.236,
1973-07,12.237,
1973-10,13.321,
1974-01,13.528,
1974-04,13.912,
1974-07,13.776,
1974-10,13.977,
1975-01,13.927,
1975-04,13.930,
1975-07,13.764,
1975-10,13.996,
1976-01,14.286,
1976-04,14.923,
1976-07,15.373,
1976-10,15.692,
1977-01,16.113,
1977-04,16.801,
1977-07,16.888,
1977-10,17.355,
1978-01,17.784,
1978-04,18.652,
1978-07,18.844,
1978-10,19.401,
1979-01,20.237,
1979-04,21.538,
1979-07,22.292,
1979-10,23.367,
1980-01,24.210,
1980-04,25.097,
1980-07,25.387,
1980-10,26.478,
1981-01,27.467,
1981-04,28.676,
1981-07,29.161,
1981-10,29.944,
1982-01,30.072,
1982-04,30.910,
1982-07,30.596,
1982-10,30.776,
1983-01,30.533,
1983-04,30.596,
1983-07,30.696,
1983-10,31.416,
1984-01,31.816,
1984-04,32.952,
1984-07,32.861,
1984-10,32.740,
1985-01,33.102,
1985-04,33.288,
1985-07,32.535,
1985-10,34.833,
1986-01,34.992,
1986-04,35.039,
1986-07,33.713,
1986-10,32.651,
1987-01,32.536,
1987-04,32.801,
1987-07,32.055,
1987-10,31.407,
1988-01,31.780,
1988-04,32.331,
1988-07,32.057,
1988-10,32.006,
1989-01,32.340,
1989-04,33.571,
1989-07,33.992,
1989-10,34.653,
1990-01,35.052,
1990-04,36.761,
1990-07,37.762,
1990-10,38.679,
1991-01,39.959,
1991-04,41.352,
1991-07,41.410,
1991-10,42.656,
1992-01,43.316,
1992-04,45.145,
1992-07,45.158,
1992-10,46.173,
1993-01,46.227,
1993-04,47.343,
1993-07,47.575,
1993-10,48.087,
1994-01,47.298,
1994-04,48.629,
1994-07,49.159,
1994-10,50.204,
1995-01,51.304,
1995-04,53.653,
1995-07,54.243,
1995-10,54.164,
1996-01,53.095,
1996-04,54.186,
1996-07,53.881,
1996-10,54.921,
1997-01,54.354,
1997-04,54.501,
1997-07,54.054,
1997-10,54.072,
1998-01,53.692,
1998-04,54.831,
1998-07,55.136,
1998-10,54.930,
1999-01,53.858,
1999-04,53.588,
1999-07,52.389,
1999-10,50.867,
2000-01,50.798,
2000-04,52.359,
2000-07,52.338,
2000-10,51.903,
2001-01,51.852,
2001-04,51.993,
2001-07,52.059,
2001-10,50.808,
2002-01,50.517,
2002-04,50.824,
2002-07,50.524,
2002-10,48.739,
2003-01,47.919,
2003-04,47.543,
2003-07,46.479,
2003-10,44.355,
2004-01,43.627,
2004-04,43.382,
2004-07,42.288,
2004-10,39.712,
2005-01,40.063,
2005-04,38.921,
2005-07,38.527,
2005-10,36.639,
2006-01,37.120,
2006-04,36.867,
2006-07,36.713,
2006-10,34.880,
2007-01,35.141,
2007-04,35.517,
2007-07,35.208,
2007-10,35.184,
2008-01,35.788,
2008-04,35.708,
2008-07,36.002,
2008-10,34.865,
2009-01,35.478,
2009-04,35.224,
2009-07,34.546,
2009-10,32.625,
2010-01,33.363,
2010-04,33.643,
2010-07,32.557,
2010-10,30.865,
2011-01,31.474,
2011-04,32.267,
2011-07,31.994,
2011-10,30.759,
2012-01,31.803,
2012-04,32.591,
2012-07,32.677,
2012-10,32.105,
2013-01,32.957,
2013-04,32.820,
2013-07,32.357,
2013-10,31.528,
2014-01,32.228,
2014-04,32.644,
2014-07,32.442,
2014-10,31.233,
