"",BBK01.OEAL04P,BBK01.OEAL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:17,
2002-01,0.915,
2002-04,0.862,
2002-07,0.846,
2002-10,0.840,
2003-01,0.813,
2003-04,0.738,
2003-07,0.711,
2003-10,0.692,
2004-01,0.686,
2004-04,0.681,
2004-07,0.649,
2004-10,0.622,
2005-01,0.635,
2005-04,0.629,
2005-07,0.606,
2005-10,0.621,
2006-01,0.617,
2006-04,0.608,
2006-07,0.611,
2006-10,0.649,
2007-01,0.715,
2007-04,0.763,
2007-07,0.862,
2007-10,0.971,
2008-01,1.087,
2008-04,1.179,
2008-07,1.389,
2008-10,1.643,
2009-01,1.369,
2009-04,1.141,
2009-07,0.872,
2009-10,0.707,
2010-01,0.553,
2010-04,0.482,
2010-07,0.402,
2010-10,0.406,
2011-01,0.406,
2011-04,0.435,
2011-07,0.466,
2011-10,0.576,
2012-01,0.635,
2012-04,0.589,
2012-07,0.527,
2012-10,0.484,
2013-01,0.347,
2013-04,0.328,
2013-07,0.297,
2013-10,0.290,
2014-01,0.248,
2014-04,0.218,
2014-07,0.219,
