"",BBFN1.M.DE.N.1.L.BM.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:22,
1994-07,0.025,
1994-08,0.025,
1994-09,0.027,
1994-10,0.029,
1994-11,0.049,
1994-12,0.048,
1995-01,0.026,
1995-02,0.031,
1995-03,0.030,
1995-04,0.031,
1995-05,0.029,
1995-06,0.038,
1995-07,0.038,
1995-08,0.032,
1995-09,0.033,
1995-10,0.040,
1995-11,0.030,
1995-12,0.031,
1996-01,0.034,
1996-02,0.034,
1996-03,0.027,
1996-04,0.022,
1996-05,0.029,
1996-06,0.031,
1996-07,0.032,
1996-08,0.029,
1996-09,0.032,
1996-10,0.028,
1996-11,0.048,
1996-12,0.034,
1997-01,0.033,
1997-02,0.031,
1997-03,0.032,
1997-04,0.033,
1997-05,0.026,
1997-06,0.018,
1997-07,0.031,
1997-08,0.024,
1997-09,0.027,
1997-10,0.035,
1997-11,0.079,
1997-12,0.093,
1998-01,0.084,
1998-02,0.076,
1998-03,0.082,
1998-04,0.062,
1998-05,0.109,
1998-06,0.103,
1998-07,0.097,
1998-08,0.104,
1998-09,0.120,
1998-10,0.087,
1998-11,0.093,
1998-12,0.089,
1999-01,0.047,
1999-02,0.105,
1999-03,0.192,
1999-04,0.139,
1999-05,0.150,
1999-06,0.207,
1999-07,0.189,
1999-08,0.175,
1999-09,0.233,
1999-10,0.227,
1999-11,0.089,
1999-12,0.304,
2000-01,0.289,
2000-02,0.287,
2000-03,0.260,
2000-04,0.284,
2000-05,0.353,
2000-06,0.311,
2000-07,0.296,
2000-08,0.358,
2000-09,0.401,
2000-10,0.334,
2000-11,0.436,
2000-12,0.235,
2001-01,0.261,
2001-02,0.272,
2001-03,0.243,
2001-04,0.297,
2001-05,0.373,
2001-06,0.350,
2001-07,0.282,
2001-08,0.302,
2001-09,0.245,
2001-10,0.200,
2001-11,0.200,
2001-12,0.209,
2002-01,0.237,
2002-02,0.227,
2002-03,0.287,
2002-04,0.297,
2002-05,0.292,
2002-06,0.246,
2002-07,0.256,
2002-08,0.239,
2002-09,0.185,
2002-10,0.162,
2002-11,0.238,
2002-12,0.309,
2003-01,0.350,
2003-02,0.293,
2003-03,0.305,
2003-04,0.263,
2003-05,0.128,
2003-06,0.246,
2003-07,0.218,
2003-08,0.235,
2003-09,0.227,
2003-10,0.245,
2003-11,0.245,
2003-12,0.267,
2004-01,0.240,
2004-02,0.223,
2004-03,0.249,
2004-04,0.243,
2004-05,0.263,
2004-06,0.059,
2004-07,0.082,
2004-08,0.084,
2004-09,0.098,
2004-10,0.071,
2004-11,0.049,
2004-12,0.062,
2005-01,0.081,
2005-02,0.071,
2005-03,0.090,
2005-04,0.086,
2005-05,0.106,
2005-06,0.111,
2005-07,0.138,
2005-08,0.097,
2005-09,0.098,
2005-10,0.076,
2005-11,0.061,
2005-12,0.039,
2006-01,0.051,
2006-02,0.050,
2006-03,0.051,
2006-04,0.048,
2006-05,0.037,
2006-06,0.079,
2006-07,0.094,
2006-08,0.066,
2006-09,0.101,
2006-10,0.104,
2006-11,0.163,
2006-12,0.096,
2007-01,0.099,
2007-02,0.160,
2007-03,0.139,
2007-04,0.153,
2007-05,0.157,
2007-06,0.152,
2007-07,0.155,
2007-08,0.149,
2007-09,0.137,
2007-10,0.133,
2007-11,0.126,
2007-12,0.063,
2008-01,0.046,
2008-02,0.052,
2008-03,0.055,
2008-04,0.039,
2008-05,0.058,
2008-06,0.040,
2008-07,0.376,
2008-08,0.354,
2008-09,0.346,
2008-10,0.031,
2008-11,0.021,
2008-12,0.066,
2009-01,0.038,
2009-02,0.056,
2009-03,0.061,
2009-04,0.056,
2009-05,0.049,
2009-06,0.063,
2009-07,0.112,
2009-08,0.106,
2009-09,0.103,
2009-10,0.095,
2009-11,0.095,
2009-12,0.089,
2010-01,0.309,
2010-02,0.316,
2010-03,0.302,
2010-04,0.347,
2010-05,0.329,
2010-06,0.276,
2010-07,0.286,
2010-08,0.125,
2010-09,0.118,
2010-10,0.113,
2010-11,0.112,
2010-12,0.099,
2011-01,0.271,
2011-02,0.249,
2011-03,0.067,
2011-04,0.258,
2011-05,0.063,
2011-06,0.070,
2011-07,0.092,
2011-08,0.081,
2011-09,0.088,
2011-10,0.053,
2011-11,0.045,
2011-12,0.066,
2012-01,0.207,
2012-02,0.261,
2012-03,0.039,
2012-04,0.197,
2012-05,0.040,
2012-06,0.049,
2012-07,0.057,
2012-08,0.049,
2012-09,0.048,
2012-10,0.070,
2012-11,0.058,
2012-12,0.037,
2013-01,0.200,
2013-02,0.226,
2013-03,0.222,
2013-04,0.198,
2013-05,0.200,
2013-06,0.081,
2013-07,0.074,
2013-08,0.060,
2013-09,0.227,
2013-10,0.152,
2013-11,0.168,
2013-12,0.158,
2014-01,0.221,
2014-02,0.314,
2014-03,0.238,
2014-04,0.227,
2014-05,0.083,
2014-06,0.131,
2014-07,0.131,
2014-08,0.110,
2014-09,0.147,
2014-10,0.107,
2014-11,0.076,
2014-12,0.077,
