"",BBK01.OEAH21V,BBK01.OEAH21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:53,
2002-01,4.070,
2002-04,4.121,
2002-07,4.129,
2002-10,4.199,
2003-01,4.260,
2003-04,4.397,
2003-07,4.399,
2003-10,4.417,
2004-01,4.385,
2004-04,5.030,
2004-07,5.020,
2004-10,5.056,
2005-01,5.189,
2005-04,5.133,
2005-07,5.956,
2005-10,5.958,
2006-01,5.838,
2006-04,5.956,
2006-07,5.950,
2006-10,5.896,
2007-01,5.951,
2007-04,5.950,
2007-07,5.884,
2007-10,5.850,
2008-01,5.948,
2008-04,1.213,
2008-07,1.183,
2008-10,1.252,
2009-01,1.304,
2009-04,1.400,
2009-07,1.475,
2009-10,1.592,
2010-01,1.670,
2010-04,1.687,
2010-07,1.722,
2010-10,1.720,
2011-01,1.856,
2011-04,1.878,
2011-07,2.151,
2011-10,2.163,
2012-01,2.313,
2012-04,2.419,
2012-07,2.370,
2012-10,2.364,
2013-01,2.530,
2013-04,2.674,
2013-07,2.574,
2013-10,2.518,
2014-01,2.656,
2014-04,2.713,
2014-07,2.680,
