"",BBK01.OEAD18U,BBK01.OEAD18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:38,
2002-01,0.143,
2002-04,0.144,
2002-07,0.156,
2002-10,0.140,
2003-01,0.133,
2003-04,0.132,
2003-07,0.120,
2003-10,0.114,
2004-01,0.128,
2004-04,0.109,
2004-07,0.113,
2004-10,0.097,
2005-01,0.089,
2005-04,0.087,
2005-07,0.085,
2005-10,0.077,
2006-01,0.079,
2006-04,0.075,
2006-07,0.070,
2006-10,0.063,
2007-01,0.062,
2007-04,0.054,
2007-07,0.073,
2007-10,0.076,
2008-01,0.100,
2008-04,0.092,
2008-07,0.079,
2008-10,0.053,
2009-01,0.070,
2009-04,0.059,
2009-07,0.053,
2009-10,0.050,
2010-01,0.042,
2010-04,0.043,
2010-07,0.041,
2010-10,0.037,
2011-01,0.038,
2011-04,0.037,
2011-07,0.038,
2011-10,0.031,
2012-01,0.040,
2012-04,0.043,
2012-07,0.044,
2012-10,0.036,
2013-01,0.049,
2013-04,0.047,
2013-07,0.045,
2013-10,0.044,
2014-01,0.044,
2014-04,0.050,
2014-07,0.041,
