"",BBK01.OEBB18N,BBK01.OEBB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:43,
2002-01,4.788,
2002-04,4.675,
2002-07,4.861,
2002-10,5.072,
2003-01,4.951,
2003-04,4.959,
2003-07,5.035,
2003-10,4.788,
2004-01,4.570,
2004-04,4.401,
2004-07,4.624,
2004-10,3.519,
2005-01,4.105,
2005-04,4.106,
2005-07,3.962,
2005-10,4.004,
2006-01,3.824,
2006-04,3.840,
2006-07,3.874,
2006-10,3.925,
2007-01,4.042,
2007-04,4.149,
2007-07,4.088,
2007-10,4.012,
2008-01,3.964,
2008-04,3.864,
2008-07,3.979,
2008-10,4.022,
2009-01,4.515,
2009-04,4.421,
2009-07,4.398,
2009-10,4.117,
2010-01,3.950,
2010-04,4.127,
2010-07,3.956,
2010-10,3.606,
2011-01,3.710,
2011-04,4.009,
2011-07,4.033,
2011-10,4.263,
2012-01,4.178,
2012-04,4.172,
2012-07,4.374,
2012-10,4.258,
2013-01,4.156,
2013-04,4.097,
2013-07,4.145,
2013-10,3.874,
2014-01,4.101,
2014-04,3.769,
2014-07,3.740,
