"",BBEX3.M.SCR.EUR.CA.AC.A01,BBEX3.M.SCR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in the Seychelles / EUR 1 = SCR ... (middle),
unit,,
unit multiplier,one,
last update,2015-02-27 15:20:39,
1999-01,6.24410,
1999-02,5.87855,
1999-03,5.74145,
1999-04,5.65590,
1999-05,5.63465,
1999-06,5.58580,
1999-07,5.70540,
1999-08,5.60125,
1999-09,5.62270,
1999-10,5.58520,
1999-11,5.44580,
1999-12,5.41195,
2000-01,5.33540,
2000-02,5.32885,
2000-03,5.32060,
2000-04,5.13625,
2000-05,5.31100,
2000-06,5.35425,
2000-07,5.27740,
2000-08,5.16150,
2000-09,5.14875,
2000-10,5.01530,
2000-11,5.31010,
2000-12,5.82485,
2001-01,5.98175,
2001-02,5.93030,
2001-03,5.66640,
2001-04,5.26500,
2001-05,4.85785,
2001-06,4.86430,
2001-07,4.91230,
2001-08,5.01925,
2001-09,5.05730,
2001-10,5.06505,
2001-11,5.04770,
2001-12,5.09360,
2002-01,5.03480,
2002-02,5.03295,
2002-03,5.06225,
2002-04,5.10530,
2002-05,5.17560,
2002-06,5.30070,
2002-07,5.26370,
2002-08,5.27630,
2002-09,5.26880,
2002-10,5.26380,
2002-11,5.24730,
2002-12,5.31030,
2003-01,5.35970,
2003-02,5.48875,
2003-03,5.71655,
2003-04,6.02440,
2003-05,6.55320,
2003-06,6.40835,
2003-07,6.31210,
2003-08,6.15595,
2003-09,6.39180,
2003-10,6.45580,
2003-11,6.57945,
2003-12,6.89250,
2004-01,6.96705,
2004-02,6.86990,
2004-03,6.73625,
2004-04,6.59440,
2004-05,6.74455,
2004-06,6.69325,
2004-07,6.66340,
2004-08,6.65180,
2004-09,6.79480,
2004-10,7.04380,
2004-11,7.33470,
2004-12,7.52075,
2005-01,7.19505,
2005-02,7.28450,
2005-03,7.14590,
2005-04,7.13045,
2005-05,6.93830,
2005-06,6.68050,
2005-07,6.69155,
2005-08,6.73735,
2005-09,6.63575,
2005-10,6.67390,
2005-11,6.50660,
2005-12,6.53970,
2006-01,6.67500,
2006-02,6.54745,
2006-03,6.69760,
2006-04,6.91460,
2006-05,7.10395,
2006-06,6.91955,
2006-07,7.02885,
2006-08,7.08020,
2006-09,7.00950,
2006-10,7.04705,
2006-11,7.33455,
2006-12,7.65435,
2007-01,7.82510,
2007-02,8.10160,
2007-03,8.16580,
2007-04,8.34950,
2007-05,8.25820,
2007-06,8.49980,
2007-07,8.92690,
2007-08,9.35685,
2007-09,10.20025,
2007-10,11.57290,
2007-11,11.84685,
2007-12,11.81570,
2008-01,11.86595,comment
2008-02,12.16925,
2008-03,12.62710,
2008-04,12.48635,
2008-05,12.42845,
2008-06,12.58430,
2008-07,12.45145,
2008-08,11.82095,
2008-09,11.87240,
2008-10,11.44810,
2008-11,21.46700,comment
2008-12,23.18315,
2009-01,21.71085,
2009-02,21.35515,
2009-03,21.41890,
2009-04,19.84040,
2009-05,19.62570,
2009-06,19.32680,
2009-07,18.50165,
2009-08,18.00535,
2009-09,14.67840,
2009-10,15.76880,
2009-11,16.69450,
2009-12,16.26605,
2010-01,16.12755,
2010-02,15.79855,
2010-03,15.92970,
2010-04,15.66240,
2010-05,15.37540,
2010-06,15.39675,
2010-07,16.30500,
2010-08,15.84630,
2010-09,16.53255,
2010-10,17.00360,
2010-11,16.15665,
2010-12,16.15840,
2011-01,16.65030,
2011-02,16.79135,
2011-03,17.20655,
2011-04,17.66915,
2011-05,17.28175,
2011-06,17.35470,
2011-07,17.47690,
2011-08,17.53050,
2011-09,16.98325,
2011-10,17.71485,
2011-11,17.63515,
2011-12,17.77695,
2012-01,18.66845,
2012-02,18.89725,
2012-03,18.76735,
2012-04,18.74295,
2012-05,17.96960,
2012-06,18.22490,
2012-07,17.00730,
2012-08,16.28105,
2012-09,16.77345,
2012-10,16.85960,
2012-11,16.87110,
2012-12,17.14030,
2013-01,17.20575,
2013-02,15.86945,
2013-03,15.04280,
2013-04,15.41080,
2013-05,15.51960,
2013-06,15.46190,
2013-07,15.84820,
2013-08,15.86635,
2013-09,16.25660,
2013-10,16.49735,
2013-11,16.38305,
2013-12,16.56860,
2014-01,16.56785,
2014-02,16.65070,
2014-03,16.78325,
2014-04,16.78515,
2014-05,16.69725,
2014-06,16.74160,
2014-07,16.55200,
2014-08,17.01400,
2014-09,17.03440,
2014-10,17.69125,
2014-11,17.63985,
2014-12,17.07525,
2015-01,15.81140,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Seychelles, Victoria.",
"","Comment on 2008-01: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
