"",BBSF2.M.1.S.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:35,
1980-12,2892,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,3693,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,4503,
1983-01,4678,
1983-02,4716,
1983-03,4844,
1983-04,4881,
1983-05,5133,
1983-06,5148,
1983-07,5221,
1983-08,5225,
1983-09,5245,
1983-10,5271,
1983-11,5404,
1983-12,5464,
1984-01,5515,
1984-02,5525,
1984-03,5534,
1984-04,5623,
1984-05,5632,
1984-06,5777,
1984-07,5808,
1984-08,5842,
1984-09,5846,
1984-10,6122,
1984-11,6223,
1984-12,6450,
1985-01,6548,
1985-02,6604,
1985-03,6779,
1985-04,6806,
1985-05,7228,
1985-06,7595,
1985-07,7813,
1985-08,7964,
1985-09,7972,
1985-10,8046,
1985-11,8151,
1985-12,8653,
1986-01,8664,
1986-02,8724,
1986-03,8777,
1986-04,8927,
1986-05,8929,
1986-06,9214,
1986-07,9468,
1986-08,9695,
1986-09,9785,
1986-10,10286,
1986-11,10404,
1986-12,10426,
1987-01,10505,
1987-02,10537,
1987-03,10962,
1987-04,11099,
1987-05,11113,
1987-06,11147,
1987-07,11369,
1987-08,11424,
1987-09,11606,
1987-10,11629,
1987-11,12243,
1987-12,12418,
1988-01,12522,
1988-02,12536,
1988-03,12742,
1988-04,13056,
1988-05,13223,
1988-06,13565,
1988-07,13692,
1988-08,14066,
1988-09,14069,
1988-10,14074,
1988-11,14637,
1988-12,14831,
1989-01,14783,
1989-02,14798,
1989-03,14731,
1989-04,15000,
1989-05,15419,
1989-06,16090,
1989-07,16195,
1989-08,16360,
1989-09,16716,
1989-10,16923,
1989-11,17297,
1989-12,17517,
1990-01,17578,
1990-02,17867,
1990-03,7395,
1990-04,7477,
1990-05,7544,
1990-06,7706,
1990-07,7955,
1990-08,8076,
1990-09,8266,
1990-10,8266,
1990-11,8331,
1990-12,8253,
1991-01,8514,
1991-02,8514,
1991-03,8514,
1991-04,8623,
1991-05,9276,
1991-06,9447,
1991-07,9616,
1991-08,9658,
1991-09,9670,
1991-10,9732,
1991-11,10410,
1991-12,10985,
1992-01,11430,
1992-02,11531,
1992-03,11724,
1992-04,11878,
1992-05,12587,
1992-06,12836,
1992-07,12836,
1992-08,12848,
1992-09,12870,
1992-10,12916,
1992-11,13066,
1992-12,13534,
1993-01,13534,
1993-02,13626,
1993-03,13626,
1993-04,14494,
1993-05,14634,
1993-06,14634,
1993-07,15736,
1993-08,16521,
1993-09,16830,
1993-10,16998,
1993-11,17152,
1993-12,27508,
1994-01,27935,
1994-02,27979,
1994-03,27979,
1994-04,31248,
1994-05,31416,
1994-06,31450,
1994-07,31743,
1994-08,32178,
1994-09,32308,
1994-10,32308,
1994-11,32516,
1994-12,32535,
1995-01,32647,
1995-02,32980,
1995-03,33313,
1995-04,33373,
1995-05,33713,
1995-06,34017,
1995-07,34141,
1995-08,34732,
1995-09,34886,
1995-10,34965,
1995-11,35370,
1995-12,36144,
1996-01,36443,
1996-02,36532,
1996-03,36532,
1996-04,36702,
1996-05,37421,
1996-06,37564,
1996-07,37564,
1996-08,37564,
1996-09,37744,
1996-10,37893,
1996-11,39219,
1996-12,39324,
1997-01,39369,
1997-02,39544,
1997-03,39544,
1997-04,39580,
1997-05,39419,
1997-06,39876,
1997-07,39904,
1997-08,39904,
1997-09,39658,
1997-10,39971,
1997-11,40198,
1997-12,41256,
1998-01,43206,
1998-02,43376,
1998-03,43447,
1998-04,43780,
1998-05,43952,
1998-06,44895,
1998-07,45030,
1998-08,45028,
1998-09,45442,
1998-10,45561,
1998-11,46152,
1998-12,50105,
1999-01,50494,
1999-02,50644,
1999-03,50645,
1999-04,51219,
1999-05,51492,
1999-06,51609,
1999-07,53074,
1999-08,53472,
1999-09,59157,
1999-10,60173,
1999-11,61976,
1999-12,72478,
2000-01,74217,
2000-02,74229,
2000-03,74482,
2000-04,79825,
2000-05,84426,
2000-06,84909,
2000-07,85913,
2000-08,86048,
2000-09,86927,
2000-10,138565,
2000-11,164148,
2000-12,198686,
2001-01,198519,
2001-02,199866,
2001-03,199866,
2001-04,195203,
2001-05,196976,
2001-06,198131,
2001-07,199695,
2001-08,200921,
2001-09,203687,
2001-10,206013,
2001-11,230143,
2001-12,240212,
2002-01,241241,
2002-02,243345,
2002-03,245083,
2002-04,246034,
2002-05,248626,
2002-06,249567,
2002-07,270109,
2002-08,277564,
2002-09,296522,
2002-10,298852,
2002-11,300125,
2002-12,352460,
2003-01,370862,
2003-02,370932,
2003-03,371384,
2003-04,372361,
2003-05,373163,
2003-06,374071,
2003-07,369061,
2003-08,369603,
2003-09,370337,
2003-10,371355,
2003-11,371930,
2003-12,371149,
2004-01,371975,
2004-02,371115,
2004-03,379637,
2004-04,379724,
2004-05,378784,
2004-06,379961,
2004-07,382838,
2004-08,382208,
2004-09,382578,
2004-10,398037,
2004-11,399590,
2004-12,401799,
2005-01,402834,
2005-02,402952,
2005-03,409009,
2005-04,412989,
2005-05,416227,
2005-06,407968,
2005-07,407285,
2005-08,407542,
2005-09,408719,
2005-10,408505,
2005-11,409267,
2005-12,450785,
2006-01,456496,
2006-02,456911,
2006-03,456990,
2006-04,467683,
2006-05,493046,
2006-06,502444,
2006-07,510248,
2006-08,514066,
2006-09,520401,
2006-10,520704,
2006-11,521553,
2006-12,570023,
2007-01,570515,
2007-02,569879,
2007-03,558016,
2007-04,556701,
2007-05,555643,
2007-06,555546,
2007-07,566043,
2007-08,561595,
2007-09,558944,
2007-10,559243,
2007-11,560560,
2007-12,565086,
2008-01,589779,
2008-02,591872,
2008-03,580636,
2008-04,579006,
2008-05,579228,
2008-06,581269,
2008-07,583466,
2008-08,585709,
2008-09,587422,
2008-10,615101,
2008-11,622116,
2008-12,629957,
2009-01,632657,
2009-02,638262,
2009-03,639335,
2009-04,648178,
2009-05,651115,
