"",BBK01.OECK01G,BBK01.OECK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:35,
2002-01,1.071,
2002-04,1.220,
2002-07,1.413,
2002-10,1.276,
2003-01,1.137,
2003-04,1.069,
2003-07,1.075,
2003-10,0.979,
2004-01,1.015,
2004-04,1.047,
2004-07,0.932,
2004-10,0.945,
2005-01,1.147,
2005-04,1.120,
2005-07,1.161,
2005-10,1.243,
2006-01,1.206,
2006-04,1.177,
2006-07,1.253,
2006-10,1.304,
2007-01,1.370,
2007-04,1.393,
2007-07,1.503,
2007-10,1.740,
2008-01,1.602,
2008-04,1.592,
2008-07,1.695,
2008-10,1.778,
2009-01,1.809,
2009-04,1.869,
2009-07,1.848,
2009-10,1.725,
2010-01,1.589,
2010-04,1.561,
2010-07,1.539,
2010-10,1.817,
2011-01,1.706,
2011-04,1.718,
2011-07,1.651,
2011-10,1.677,
2012-01,1.757,
2012-04,1.803,
2012-07,1.985,
2012-10,1.927,
2013-01,1.845,
2013-04,1.911,
2013-07,2.184,
2013-10,2.158,
2014-01,2.084,
2014-04,2.148,
2014-07,2.185,
