"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:54,
1991-01,193.862,
1991-04,29.889,
1991-07,-43.140,
1991-10,47.139,
1992-01,687.091,
1992-04,-87.838,
1992-07,-8.434,
1992-10,30.176,
1993-01,-36.702,
1993-04,-18.271,
1993-07,-16.562,
1993-10,1.333,
1994-01,50.365,
1994-04,29.894,
1994-07,-5.637,
1994-10,50.320,
1995-01,77.052,
1995-04,21.015,
1995-07,-814.741,
1995-10,50.350,
1996-01,-61.994,
1996-04,-27.079,
1996-07,-2.622,
1996-10,45.334,
1997-01,79.985,
1997-04,158.846,
1997-07,24.863,
1997-10,-78.782,
1998-01,34.551,
1998-04,42.843,
1998-07,-1.382,
1998-10,112.206,
1999-01,-39.153,
1999-04,11.062,
1999-07,10.566,
1999-10,38.486,
2000-01,132.501,
2000-04,-140.357,
2000-07,-149.116,
2000-10,85.725,
2001-01,-135.965,
2001-04,-59.219,
2001-07,0.434,
2001-10,-50.840,
2002-01,15.810,
2002-04,18.117,
2002-07,-35.295,
2002-10,-182.749,
2003-01,-149.599,
2003-04,-31.975,
2003-07,-41.939,
2003-10,306.391,
2004-01,23.553,
2004-04,-92.033,
2004-07,763.090,
2004-10,-126.679,
2005-01,1.291,
2005-04,-140.966,
2005-07,149.281,
2005-10,7.377,
2006-01,-98.597,
2006-04,-62.590,
2006-07,49.523,
2006-10,-147.274,
2007-01,97.183,
2007-04,42.932,
2007-07,36.187,
2007-10,360.666,
2008-01,38.812,
2008-04,-47.444,
2008-07,-113.527,
2008-10,-20.154,
2009-01,-5.464,
2009-04,157.909,
2009-07,37.182,
2009-10,-62.393,
2010-01,49.641,
2010-04,171.275,
2010-07,-32.449,
2010-10,-176.355,
2011-01,185.793,
2011-04,82.495,
2011-07,503.164,
2011-10,-101.760,
2012-01,-84.086,
2012-04,-116.038,
2012-07,-223.279,
2012-10,-457.211,
2013-01,-57.965,
2013-04,28.132,
2013-07,-58.681,
2013-10,-87.516,
2014-01,-88.532,Provisional value
2014-04,15.538,Provisional value
2014-07,571.805,Provisional value
2014-10,-47.148,Provisional value
