"",BBK01.OEXB07O,BBK01.OEXB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:10,
2002-01,-0.502,
2002-04,-0.524,
2002-07,-0.407,
2002-10,-0.233,
2003-01,-0.332,
2003-04,-0.257,
2003-07,-0.262,
2003-10,-0.231,
2004-01,-0.558,
2004-04,-1.115,
2004-07,-1.240,
2004-10,-2.898,
2005-01,0.560,
2005-04,0.560,
2005-07,0.544,
2005-10,0.561,
2006-01,0.551,
2006-04,0.543,
2006-07,0.554,
2006-10,0.606,
2007-01,0.617,
2007-04,0.631,
2007-07,0.638,
2007-10,0.666,
2008-01,0.666,
2008-04,0.680,
2008-07,0.645,
2008-10,0.623,
2009-01,0.654,
2009-04,0.957,
2009-07,0.923,
2009-10,0.919,
2010-01,0.710,
2010-04,0.738,
2010-07,0.898,
2010-10,0.917,
2011-01,0.831,
2011-04,0.842,
2011-07,0.832,
2011-10,0.796,
2012-01,1.043,
2012-04,1.204,
2012-07,1.145,
2012-10,1.121,
2013-01,1.073,
2013-04,1.018,
2013-07,0.981,
2013-10,0.750,
2014-01,0.746,
2014-04,0.742,
2014-07,0.750,
