"",BBK01.OEAC31M,BBK01.OEAC31M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:52,
2002-01,9.984,
2002-04,9.742,
2002-07,9.574,
2002-10,9.811,
2003-01,10.123,
2003-04,10.440,
2003-07,10.630,
2003-10,10.437,
2004-01,10.333,
2004-04,10.308,
2004-07,10.316,
2004-10,9.811,
2005-01,9.785,
2005-04,10.047,
2005-07,10.104,
2005-10,9.822,
2006-01,9.713,
2006-04,9.750,
2006-07,9.840,
2006-10,10.210,
2007-01,10.254,
2007-04,10.025,
2007-07,11.402,
2007-10,12.220,
2008-01,11.836,
2008-04,12.007,
2008-07,12.046,
2008-10,11.725,
2009-01,11.749,
2009-04,11.991,
2009-07,12.279,
2009-10,12.550,
2010-01,12.857,
2010-04,13.065,
2010-07,13.538,
2010-10,13.688,
2011-01,13.489,
2011-04,13.372,
2011-07,13.695,
2011-10,14.355,
2012-01,14.301,
2012-04,15.075,
2012-07,15.358,
2012-10,15.688,
2013-01,15.432,
2013-04,15.804,
2013-07,15.684,
2013-10,15.914,
2014-01,15.835,
2014-04,15.671,
2014-07,15.628,
