"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:47,
1970-06,-,Nothing exists
1970-07,148,
1970-08,151,
1970-09,162,
1970-10,163,
1970-11,164,
1970-12,174,
1971-01,206,
1971-02,224,
1971-03,240,
1971-04,233,
1971-05,236,
1971-06,233,
1971-07,239,
1971-08,233,
1971-09,216,
1971-10,204,
1971-11,205,
1971-12,244,
1972-01,290,
1972-02,332,
1972-03,359,
1972-04,367,
1972-05,400,
1972-06,409,
1972-07,430,
1972-08,440,
1972-09,429,
1972-10,417,
1972-11,437,
1972-12,462,
1973-01,501,
1973-02,467,
1973-03,499,
1973-04,488,
1973-05,426,
1973-06,404,
1973-07,396,
1973-08,402,
1973-09,404,
1973-10,426,
1973-11,400,
1973-12,419,
1974-01,446,
1974-02,442,
1974-03,468,
1974-04,494,
1974-05,483,
1974-06,472,
1974-07,472,
1974-08,464,
1974-09,437,
1974-10,452,
1974-11,465,
1974-12,477,
1975-01,534,
1975-02,602,
1975-03,629,
1975-04,726,
1975-05,715,
1975-06,770,
1975-07,839,
1975-08,806,
1975-09,835,
1975-10,895,
1975-11,1015,
1975-12,1112,
1976-01,1167,
1976-02,1139,
1976-03,1215,
1976-04,1161,
1976-05,1135,
1976-06,1160,
1976-07,1146,
1976-08,1139,
1976-09,1168,
1976-10,1055,
1976-11,1137,
1976-12,1185,
1977-01,1181,
1977-02,1165,
1977-03,1182,
1977-04,1292,
1977-05,1316,
1977-06,1325,
1977-07,1354,
1977-08,1386,
1977-09,1413,
1977-10,1473,
1977-11,1538,
1977-12,1570,
1978-01,1604,
1978-02,1618,
1978-03,1644,
1978-04,1669,
1978-05,1749,
1978-06,1801,
1978-07,1933,
1978-08,1965,
1978-09,2051,
1978-10,1997,
1978-11,2012,
1978-12,2030,
1979-01,2037,
1979-02,1944,
1979-03,1914,
1979-04,1901,
1979-05,1747,
1979-06,1687,
1979-07,1722,
1979-08,1798,
1979-09,1800,
1979-10,1676,
1979-11,1701,
1979-12,1706,
1980-01,1811,
1980-02,1783,
1980-03,1650,
1980-04,1726,
1980-05,1792,
1980-06,1896,
1980-07,2041,
1980-08,2002,
1980-09,2050,
1980-10,2082,
1980-11,2205,
1980-12,2227,
1981-01,2214,
1981-02,2184,
1981-03,2340,
1981-04,2452,
1981-05,2497,
1981-06,2692,
1981-07,2838,
1981-08,2738,
1981-09,2354,
1981-10,2337,
1981-11,2402,
1981-12,2369,
1982-01,2455,
1982-02,2458,
1982-03,2542,
1982-04,2444,
1982-05,2356,
1982-06,2275,
1982-07,2376,
1982-08,2446,
1982-09,2596,
1982-10,2601,
1982-11,2737,
1982-12,2965,
1983-01,3006,
1983-02,3160,
1983-03,3599,
1983-04,3999,
1983-05,3747,
1983-06,3958,
1983-07,4269,
1983-08,4031,
1983-09,4191,
1983-10,4454,
1983-11,4666,
1983-12,4849,
1984-01,5211,
1984-02,4656,
1984-03,4700,
1984-04,4792,
1984-05,4595,
1984-06,4703,
1984-07,4378,
1984-08,4526,
1984-09,4955,
1984-10,5019,
1984-11,5063,
1984-12,5203,
1985-01,5356,
1985-02,5498,
1985-03,5531,
1985-04,5809,
1985-05,6279,
1985-06,6598,
1985-07,6325,
1985-08,6782,
1985-09,7305,
1985-10,8326,
1985-11,8335,
1985-12,9570,
1986-01,9420,
1986-02,9610,
1986-03,10865,
1986-04,11550,
1986-05,11037,
1986-06,10831,
1986-07,10265,
1986-08,11668,
1986-09,10869,
1986-10,11020,
1986-11,11843,
1986-12,12026,
1987-01,10919,
1987-02,10799,
1987-03,11599,
1987-04,11854,
1987-05,11982,
1987-06,12726,
1987-07,13641,
1987-08,14027,
1987-09,13930,
1987-10,11428,
1987-11,10243,
1987-12,10279,
1988-01,9720,
1988-02,11035,
1988-03,10963,
1988-04,11076,
1988-05,11068,
1988-06,11477,
1988-07,11438,
1988-08,11329,
1988-09,12234,
1988-10,12714,
1988-11,12394,
1988-12,13365,
1989-01,13832,
1989-02,13552,
1989-03,13965,
1989-04,15172,
1989-05,15791,
1989-06,16533,
1989-07,17078,
1989-08,17714,
1989-09,17343,
1989-10,15596,
1989-11,16012,
1989-12,17710,
1990-01,17991,
1990-02,18222,
1990-03,19510,
1990-04,18664,
1990-05,19613,
1990-06,20200,
1990-07,20771,
1990-08,18281,
1990-09,15569,
1990-10,16315,
1990-11,15955,
1990-12,15448,
1991-01,15788,
1991-02,17007,
1991-03,17237,
1991-04,18474,
1991-05,19389,
1991-06,18207,
1991-07,18918,
1991-08,19530,
1991-09,19245,
1991-10,19446,
1991-11,18970,
1991-12,18892,
1992-01,20731,
1992-02,22245,
1992-03,21950,
1992-04,22434,
1992-05,23789,
1992-06,23178,
1992-07,22012,
1992-08,21036,
1992-09,20452,
1992-10,21002,
1992-11,21573,
1992-12,21938,
