"",BBK01.OELB03G,BBK01.OELB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:12,
2002-01,7.950,
2002-04,7.763,
2002-07,7.581,
2002-10,7.278,
2003-01,6.978,
2003-04,6.721,
2003-07,6.539,
2003-10,6.361,
2004-01,6.138,
2004-04,6.024,
2004-07,5.893,
2004-10,5.627,
2005-01,5.473,
2005-04,5.371,
2005-07,5.332,
2005-10,5.303,
2006-01,5.178,
2006-04,5.154,
2006-07,5.079,
2006-10,5.030,
2007-01,4.977,
2007-04,4.966,
2007-07,4.951,
2007-10,4.942,
2008-01,4.843,
2008-04,4.824,
2008-07,4.908,
2008-10,4.864,
2009-01,4.826,
2009-04,4.833,
2009-07,4.856,
2009-10,4.844,
2010-01,4.715,
2010-04,4.736,
2010-07,4.763,
2010-10,4.788,
2011-01,4.833,
2011-04,4.885,
2011-07,4.947,
2011-10,4.959,
2012-01,5.017,
2012-04,5.214,
2012-07,5.340,
2012-10,5.309,
2013-01,5.354,
2013-04,5.440,
2013-07,5.541,
2013-10,5.599,
2014-01,5.615,
2014-04,5.672,
2014-07,5.785,
