"",BBK01.OECB21M,BBK01.OECB21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:43,
2002-01,0.285,
2002-04,0.294,
2002-07,0.294,
2002-10,0.500,
2003-01,0.289,
2003-04,0.300,
2003-07,0.304,
2003-10,0.294,
2004-01,0.302,
2004-04,0.324,
2004-07,0.327,
2004-10,0.279,
2005-01,0.664,
2005-04,0.646,
2005-07,0.642,
2005-10,0.647,
2006-01,0.675,
2006-04,0.632,
2006-07,0.625,
2006-10,0.413,
2007-01,0.439,
2007-04,0.479,
2007-07,0.499,
2007-10,0.724,
2008-01,0.752,
2008-04,0.679,
2008-07,0.656,
2008-10,0.543,
2009-01,0.534,
2009-04,0.713,
2009-07,0.703,
2009-10,0.564,
2010-01,0.555,
2010-04,0.547,
2010-07,0.567,
2010-10,0.541,
2011-01,0.499,
2011-04,0.463,
2011-07,0.459,
2011-10,0.433,
2012-01,0.463,
2012-04,0.421,
2012-07,0.475,
2012-10,0.393,
2013-01,0.464,
2013-04,0.504,
2013-07,0.319,
2013-10,0.553,
2014-01,0.623,
2014-04,0.597,
2014-07,0.584,
