"",BBK01.OECB13V,BBK01.OECB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:24,
2002-01,1.596,
2002-04,1.579,
2002-07,1.560,
2002-10,1.527,
2003-01,1.455,
2003-04,1.431,
2003-07,1.399,
2003-10,1.337,
2004-01,1.321,
2004-04,1.387,
2004-07,1.358,
2004-10,1.288,
2005-01,1.365,
2005-04,1.357,
2005-07,1.340,
2005-10,1.309,
2006-01,1.286,
2006-04,1.266,
2006-07,1.250,
2006-10,1.187,
2007-01,1.157,
2007-04,1.140,
2007-07,1.111,
2007-10,1.117,
2008-01,1.098,
2008-04,1.096,
2008-07,1.091,
2008-10,1.081,
2009-01,1.069,
2009-04,2.092,
2009-07,2.059,
2009-10,1.991,
2010-01,1.903,
2010-04,1.886,
2010-07,1.283,
2010-10,1.241,
2011-01,1.303,
2011-04,1.282,
2011-07,1.250,
2011-10,1.237,
2012-01,1.208,
2012-04,1.188,
2012-07,1.173,
2012-10,1.175,
2013-01,1.168,
2013-04,1.167,
2013-07,1.155,
2013-10,1.174,
2014-01,1.172,
2014-04,1.177,
2014-07,1.153,
