"",BBK01.PC3661,BBK01.PC3661_FLAGS
"",Lending to domestic non-profit institutions / Medium-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:28:24,
1985-10,0.002,
1986-01,-,Nothing exists
1986-04,0.001,
1986-07,0.001,
1986-10,0.002,
1987-01,0.002,
1987-04,0.005,
1987-07,0.005,
1987-10,0.004,
1988-01,0.003,
1988-04,0.003,
1988-07,0.004,
1988-10,0.002,
1989-01,0.002,
1989-04,0.002,
1989-07,0.002,
1989-10,0.002,
1990-01,0.002,
1990-04,0.002,
1990-07,0.001,
1990-10,0.001,
1991-01,0.001,
1991-04,0.001,
1991-07,0.001,
1991-10,0.002,
1992-01,0.002,
1992-04,0.002,
1992-07,0.002,
1992-10,0.006,
1993-01,0.005,
1993-04,0.007,
1993-07,0.005,
1993-10,0.009,
1994-01,0.008,
1994-04,0.008,
1994-07,0.012,
1994-10,0.012,
1995-01,0.009,
1995-04,0.010,
1995-07,0.009,
1995-10,0.010,
1996-01,0.011,
1996-04,0.011,
1996-07,0.006,
1996-10,0.006,
1997-01,0.004,
1997-04,0.006,
1997-07,0.005,
1997-10,0.005,
1998-01,0.006,
1998-04,0.006,
1998-07,0.007,
1998-10,0.007,
1999-01,0.009,
1999-04,0.023,
1999-07,0.028,
1999-10,0.045,
2000-01,0.052,
2000-04,0.049,
2000-07,0.062,
2000-10,0.054,
2001-01,0.050,
2001-04,0.049,
2001-07,0.013,
2001-10,0.029,
2002-01,0.026,
2002-04,0.026,
2002-07,0.023,
2002-10,0.015,
2003-01,0.014,
2003-04,0.014,
2003-07,0.012,
2003-10,0.014,
2004-01,0.013,
2004-04,0.016,
2004-07,0.016,
2004-10,0.017,
2005-01,0.016,
2005-04,0.013,
2005-07,0.013,
2005-10,0.047,
2006-01,0.050,
2006-04,0.056,
2006-07,0.064,
2006-10,0.032,
2007-01,0.030,
2007-04,0.029,
2007-07,0.027,
2007-10,0.133,
2008-01,0.149,
2008-04,0.147,
2008-07,0.143,
2008-10,0.138,
2009-01,0.133,
2009-04,0.133,
2009-07,0.135,
2009-10,0.166,
2010-01,0.162,
2010-04,0.163,
2010-07,0.157,
2010-10,0.159,
2011-01,0.200,
2011-04,0.196,
2011-07,0.192,
2011-10,0.189,
2012-01,0.232,
2012-04,0.226,
2012-07,0.122,
2012-10,0.122,
2013-01,0.121,
2013-04,0.118,
2013-07,0.114,
2013-10,0.109,
2014-01,0.113,
2014-04,0.110,
2014-07,0.107,
2014-10,0.108,
