"",BBFN1.M.DE.N.1.A.AT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:07,
1994-07,2.410,
1994-08,2.585,
1994-09,2.837,
1994-10,3.002,
1994-11,3.079,
1994-12,3.069,
1995-01,3.101,
1995-02,3.146,
1995-03,3.169,
1995-04,3.171,
1995-05,3.181,
1995-06,3.160,
1995-07,3.009,
1995-08,3.022,
1995-09,3.143,
1995-10,3.113,
1995-11,3.282,
1995-12,2.973,
1996-01,2.900,
1996-02,2.895,
1996-03,2.958,
1996-04,3.002,
1996-05,2.957,
1996-06,2.914,
1996-07,2.969,
1996-08,2.887,
1996-09,3.013,
1996-10,3.096,
1996-11,3.122,
1996-12,2.974,
1997-01,2.991,
1997-02,3.039,
1997-03,2.986,
1997-04,3.022,
1997-05,2.912,
1997-06,2.934,
1997-07,2.916,
1997-08,2.856,
1997-09,3.042,
1997-10,3.198,
1997-11,3.247,
1997-12,3.097,
1998-01,3.038,
1998-02,3.137,
1998-03,3.273,
1998-04,3.289,
1998-05,3.323,
1998-06,3.259,
1998-07,3.238,
1998-08,3.112,
1998-09,3.328,
1998-10,3.447,
1998-11,3.429,
1998-12,3.132,
1999-01,3.105,
1999-02,3.285,
1999-03,3.450,
1999-04,3.495,
1999-05,3.383,
1999-06,3.447,
1999-07,3.333,
1999-08,3.415,
1999-09,3.672,
1999-10,3.963,
1999-11,3.960,
1999-12,3.659,
2000-01,3.635,
2000-02,3.857,
2000-03,3.976,
2000-04,3.947,
2000-05,4.045,
2000-06,4.085,
2000-07,4.067,
2000-08,4.014,
2000-09,4.368,
2000-10,4.552,
2000-11,4.474,
2000-12,4.121,
2001-01,4.024,
2001-02,4.120,
2001-03,4.330,
2001-04,4.162,
2001-05,4.205,
2001-06,4.190,
2001-07,4.074,
2001-08,3.914,
2001-09,4.239,
2001-10,4.315,
2001-11,4.393,
2001-12,3.975,
2002-01,3.821,
2002-02,3.937,
2002-03,3.759,
2002-04,3.753,
2002-05,3.762,
2002-06,3.895,
2002-07,3.702,
2002-08,3.523,
2002-09,3.702,
2002-10,3.893,
2002-11,3.803,
2002-12,3.625,
2003-01,3.523,
2003-02,3.668,
2003-03,3.729,
2003-04,3.853,
2003-05,3.627,
2003-06,3.657,
2003-07,3.585,
2003-08,3.506,
2003-09,3.910,
2003-10,4.035,
2003-11,4.224,
2003-12,3.947,
2004-01,3.536,
2004-02,3.755,
2004-03,4.148,
2004-04,4.102,
2004-05,4.069,
2004-06,4.132,
2004-07,4.008,
2004-08,3.888,
2004-09,4.031,
2004-10,4.058,
2004-11,4.206,
2004-12,3.978,
2005-01,3.734,
2005-02,3.909,
2005-03,4.095,
2005-04,3.982,
2005-05,3.878,
2005-06,4.204,
2005-07,4.027,
2005-08,3.710,
2005-09,4.172,
2005-10,4.311,
2005-11,4.353,
2005-12,4.115,
2006-01,3.937,
2006-02,4.187,
2006-03,4.428,
2006-04,4.269,
2006-05,4.316,
2006-06,4.539,
2006-07,4.416,
2006-08,4.267,
2006-09,4.573,
2006-10,4.529,
2006-11,4.686,
2006-12,4.308,
2007-01,4.189,
2007-02,4.423,
2007-03,4.688,
2007-04,4.539,
2007-05,4.460,
2007-06,4.582,
2007-07,4.486,
2007-08,4.366,
2007-09,4.674,
2007-10,4.902,
2007-11,4.967,
2007-12,4.360,
2008-01,4.319,
2008-02,4.672,
2008-03,4.808,
2008-04,4.668,
2008-05,4.616,
2008-06,4.742,
2008-07,4.456,
2008-08,4.309,
2008-09,4.734,
2008-10,4.792,
2008-11,4.688,
2008-12,3.936,
2009-01,3.657,
2009-02,3.741,
2009-03,3.989,
2009-04,3.891,
2009-05,3.816,
2009-06,3.906,
2009-07,3.865,
2009-08,3.775,
2009-09,3.949,
2009-10,4.094,
2009-11,4.117,
2009-12,3.629,
2010-01,3.544,
2010-02,3.851,
2010-03,4.353,
2010-04,4.226,
2010-05,4.183,
2010-06,4.438,
2010-07,4.312,
2010-08,4.560,
2010-09,4.542,
2010-10,4.666,
2010-11,4.832,
2010-12,4.336,
2011-01,4.380,
2011-02,4.685,
2011-03,4.887,
2011-04,4.611,
2011-05,4.795,
2011-06,4.653,
2011-07,4.563,
2011-08,4.530,
2011-09,4.891,
2011-10,4.889,
2011-11,4.895,
2011-12,4.342,
2012-01,4.479,
2012-02,4.843,
2012-03,5.016,
2012-04,5.083,
2012-05,4.895,
2012-06,4.839,
2012-07,4.894,
2012-08,4.875,
2012-09,5.182,
2012-10,5.145,
2012-11,5.148,
2012-12,4.694,
2013-01,4.570,
2013-02,4.774,
2013-03,5.143,
2013-04,5.125,
2013-05,4.662,
2013-06,4.902,
2013-07,4.520,
2013-08,4.440,
2013-09,4.865,
2013-10,4.876,
2013-11,4.959,
2013-12,4.520,
2014-01,4.524,
2014-02,4.792,
2014-03,4.863,
2014-04,4.655,
2014-05,4.512,
2014-06,4.676,
2014-07,4.544,
2014-08,4.483,
2014-09,4.854,
2014-10,4.683,
2014-11,4.719,
2014-12,4.211,
