"",BBK01.OEAF26K,BBK01.OEAF26K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:06,
2002-01,0.982,
2002-04,0.970,
2002-07,0.984,
2002-10,1.268,
2003-01,1.236,
2003-04,1.017,
2003-07,1.607,
2003-10,1.035,
2004-01,1.732,
2004-04,1.095,
2004-07,1.184,
2004-10,1.909,
2005-01,1.392,
2005-04,1.323,
2005-07,1.403,
2005-10,1.425,
2006-01,1.419,
2006-04,1.445,
2006-07,1.464,
2006-10,1.501,
2007-01,1.502,
2007-04,1.562,
2007-07,1.580,
2007-10,1.338,
2008-01,1.326,
2008-04,1.335,
2008-07,1.307,
2008-10,1.595,
2009-01,1.643,
2009-04,1.668,
2009-07,1.676,
2009-10,1.658,
2010-01,1.218,
2010-04,1.624,
2010-07,1.888,
2010-10,1.910,
2011-01,1.888,
2011-04,1.864,
2011-07,1.856,
2011-10,1.834,
2012-01,1.777,
2012-04,1.756,
2012-07,1.890,
2012-10,1.885,
2013-01,1.911,
2013-04,1.938,
2013-07,2.003,
2013-10,1.996,
2014-01,1.987,
2014-04,1.817,
2014-07,1.837,
