"",BBK01.CEFEC0,BBK01.CEFEC0_FLAGS
"",short-term loans                                              debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:47,
1999-01,24.9,
1999-04,25.8,
1999-07,25.7,
1999-10,21.7,
2000-01,29.2,
2000-04,22.2,
2000-07,33.5,
2000-10,17.7,
2001-01,32.2,
2001-04,21.4,
2001-07,22.7,
2001-10,25.3,
2002-01,41.8,
2002-04,25.6,
2002-07,23.0,
2002-10,30.1,
2003-01,35.0,
2003-04,37.7,
2003-07,47.2,
2003-10,39.3,
2004-01,51.8,
2004-04,44.7,
2004-07,44.2,
2004-10,41.0,
2005-01,51.2,
2005-04,50.2,
2005-07,53.7,
2005-10,46.7,
2006-01,58.7,
2006-04,56.5,
2006-07,65.9,
2006-10,52.6,
2007-01,68.7,
2007-04,72.9,
2007-07,68.1,
2007-10,55.4,
2008-01,70.7,
2008-04,76.0,
2008-07,66.1,
2008-10,76.5,
2009-01,72.0,
2009-04,65.6,
2009-07,70.7,
2009-10,64.3,
2010-01,64.2,
2010-04,74.0,
2010-07,75.8,
2010-10,235.0,
2011-01,213.4,
2011-04,195.5,
2011-07,192.0,
2011-10,199.1,
2012-01,180.3,
2012-04,191.8,
2012-07,172.3,
2012-10,155.8,
2013-01,140.9,
2013-04,137.9,
2013-07,119.4,
2013-10,128.7,
2014-01,115.3,
2014-04,116.4,
2014-07,116.0,
