"",BBK01.OEBK04L,BBK01.OEBK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:11,
2002-01,1.242,
2002-04,1.158,
2002-07,1.232,
2002-10,1.355,
2003-01,1.141,
2003-04,1.026,
2003-07,0.954,
2003-10,0.872,
2004-01,1.007,
2004-04,0.907,
2004-07,0.944,
2004-10,1.241,
2005-01,1.078,
2005-04,1.114,
2005-07,1.221,
2005-10,1.225,
2006-01,1.271,
2006-04,1.413,
2006-07,2.220,
2006-10,2.488,
2007-01,2.639,
2007-04,2.978,
2007-07,3.322,
2007-10,4.089,
2008-01,4.296,
2008-04,4.965,
2008-07,5.453,
2008-10,5.199,
2009-01,4.393,
2009-04,4.026,
2009-07,4.215,
2009-10,3.431,
2010-01,2.964,
2010-04,4.231,
2010-07,5.006,
2010-10,4.009,
2011-01,4.505,
2011-04,4.801,
2011-07,3.291,
2011-10,3.263,
2012-01,3.477,
2012-04,3.568,
2012-07,3.274,
2012-10,2.879,
2013-01,2.732,
2013-04,2.532,
2013-07,2.229,
2013-10,2.144,
2014-01,2.287,
2014-04,2.457,
2014-07,2.421,
