"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Luxembourg,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:10,
2009-09,7399,
2009-10,7633,
2009-11,7575,
2009-12,7662,
2010-01,7705,
2010-02,7496,
2010-03,7771,
2010-04,7757,
2010-05,7969,
2010-06,7917,
2010-07,8070,
2010-08,8102,
2010-09,8158,
2010-10,8267,
2010-11,8314,
2010-12,7805,
2011-01,8024,
2011-02,8288,
2011-03,8277,
2011-04,8394,
2011-05,8553,
2011-06,8750,
2011-07,9082,
2011-08,9008,
2011-09,8843,
2011-10,9202,
2011-11,9191,
2011-12,9555,
2012-01,9893,
2012-02,10093,
2012-03,11996,
2012-04,12288,
2012-05,12668,
2012-06,13018,
2012-07,14438,
2012-08,14813,
2012-09,14932,
2012-10,15447,
2012-11,15658,
2012-12,15809,
2013-01,15918,
2013-02,16564,
2013-03,16798,
2013-04,17538,
2013-05,17779,
2013-06,17480,
2013-07,18844,
2013-08,19609,
2013-09,19709,
2013-10,19541,
2013-11,19830,
2013-12,19553,
2014-01,19758,
2014-02,20253,
2014-03,20631,
2014-04,20372,
2014-05,20705,
2014-06,21334,
2014-07,22000,
2014-08,22302,
2014-09,21910,
2014-10,22334,
2014-11,22303,
