"",BBK01.OELI08M,BBK01.OELI08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:12,
2002-01,12.856,
2002-04,12.813,
2002-07,12.771,
2002-10,13.165,
2003-01,13.387,
2003-04,13.321,
2003-07,13.401,
2003-10,13.619,
2004-01,13.624,
2004-04,13.612,
2004-07,13.506,
2004-10,13.779,
2005-01,13.648,
2005-04,13.587,
2005-07,13.456,
2005-10,13.602,
2006-01,13.472,
2006-04,13.291,
2006-07,13.000,
2006-10,12.913,
2007-01,12.449,
2007-04,12.133,
2007-07,11.751,
2007-10,11.759,
2008-01,11.461,
2008-04,11.247,
2008-07,10.961,
2008-10,11.183,
2009-01,11.400,
2009-04,11.494,
2009-07,11.418,
2009-10,11.865,
2010-01,12.183,
2010-04,12.384,
2010-07,12.650,
2010-10,13.099,
2011-01,13.359,
2011-04,13.454,
2011-07,13.447,
2011-10,13.864,
2012-01,13.619,
2012-04,13.655,
2012-07,13.502,
2012-10,13.644,
2013-01,13.621,
2013-04,13.647,
2013-07,13.676,
2013-10,13.890,
2014-01,13.969,
2014-04,13.978,
2014-07,13.983,
