"",BBK01.OECM03I,BBK01.OECM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:35,
2002-01,0.254,
2002-04,0.320,
2002-07,0.176,
2002-10,0.299,
2003-01,0.992,
2003-04,0.902,
2003-07,0.712,
2003-10,0.521,
2004-01,0.592,
2004-04,0.351,
2004-07,0.254,
2004-10,0.126,
2005-01,0.404,
2005-04,0.266,
2005-07,0.105,
2005-10,0.328,
2006-01,0.561,
2006-04,1.630,
2006-07,1.333,
2006-10,0.704,
2007-01,0.936,
2007-04,1.155,
2007-07,1.196,
2007-10,1.828,
2008-01,1.307,
2008-04,1.427,
2008-07,1.035,
2008-10,1.707,
2009-01,1.428,
2009-04,2.020,
2009-07,1.914,
2009-10,0.937,
2010-01,2.193,
2010-04,1.436,
2010-07,1.427,
2010-10,0.116,
2011-01,1.031,
2011-04,0.929,
2011-07,1.724,
2011-10,0.365,
2012-01,1.644,
2012-04,2.492,
2012-07,1.315,
2012-10,0.152,
2013-01,1.103,
2013-04,3.248,
2013-07,2.262,
2013-10,0.623,
2014-01,1.635,
2014-04,2.156,
2014-07,1.582,
