"",BBK01.OEAE15N,BBK01.OEAE15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:39,
2002-01,4.451,
2002-04,4.326,
2002-07,4.326,
2002-10,4.219,
2003-01,3.936,
2003-04,3.730,
2003-07,3.840,
2003-10,3.800,
2004-01,3.545,
2004-04,3.411,
2004-07,3.354,
2004-10,3.599,
2005-01,3.527,
2005-04,3.538,
2005-07,3.265,
2005-10,3.128,
2006-01,3.001,
2006-04,3.023,
2006-07,2.890,
2006-10,2.980,
2007-01,3.150,
2007-04,3.179,
2007-07,3.071,
2007-10,3.233,
2008-01,3.208,
2008-04,3.283,
2008-07,3.241,
2008-10,3.146,
2009-01,3.908,
2009-04,3.550,
2009-07,3.366,
2009-10,2.336,
2010-01,2.911,
2010-04,3.129,
2010-07,2.690,
2010-10,2.774,
2011-01,2.627,
2011-04,2.858,
2011-07,2.903,
2011-10,2.781,
2012-01,2.860,
2012-04,2.904,
2012-07,2.714,
2012-10,2.683,
2013-01,2.800,
2013-04,2.811,
2013-07,2.945,
2013-10,2.656,
2014-01,2.678,
2014-04,2.852,
2014-07,2.662,
