"",BBFB1.Q.N.DE.RU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:30,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,9.344,
1992-07,14.152,
1992-10,10.261,
1993-01,12.809,
1993-04,15.601,
1993-07,27.578,
1993-10,24.637,
1994-01,16.088,
1994-04,5.502,
1994-07,4.242,
1994-10,5.478,
1995-01,4.393,
1995-04,3.601,
1995-07,2.858,
1995-10,6.774,
1996-01,2.253,
1996-04,3.236,
1996-07,1.846,
1996-10,1.178,
1997-01,1.047,
1997-04,2.844,
1997-07,2.587,
1997-10,2.013,
1998-01,0.689,
1998-04,2.927,
1998-07,3.733,
1998-10,21.216,
1999-01,2.756,
1999-04,0.018,
1999-07,1.500,
1999-10,29.602,
2000-01,1.053,
2000-04,2.352,
2000-07,3.051,
2000-10,4.330,
2001-01,1.374,
2001-04,2.096,
2001-07,4.065,
2001-10,7.217,
2002-01,4.770,
2002-04,2.344,
2002-07,2.599,
2002-10,4.321,
2003-01,2.601,
2003-04,3.260,
2003-07,2.431,
2003-10,3.183,
2004-01,2.552,
2004-04,4.055,
2004-07,3.553,
2004-10,2.224,
2005-01,4.219,
2005-04,1.620,
2005-07,3.658,
2005-10,2.475,
2006-01,1.855,
2006-04,6.719,
2006-07,1.674,
2006-10,2.538,
2007-01,1.645,
2007-04,2.483,
2007-07,2.231,
2007-10,3.892,
2008-01,6.209,
2008-04,9.946,
2008-07,7.905,
2008-10,9.316,
2009-01,2.094,
2009-04,20.831,
2009-07,3.442,
2009-10,2.559,
2010-01,2.620,
2010-04,5.052,
2010-07,12.555,
2010-10,7.002,
2011-01,8.155,
2011-04,6.171,
2011-07,6.176,
2011-10,7.510,
2012-01,5.385,
2012-04,7.504,
2012-07,10.562,
2012-10,7.854,
2013-01,5.885,
2013-04,5.063,
2013-07,11.100,
2013-10,4.613,
2014-01,1.743,Provisional value
2014-04,3.324,Provisional value
2014-07,5.788,Provisional value
