"",BBK01.OEAF34U,BBK01.OEAF34U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:27,
2002-01,3.130,
2002-04,3.138,
2002-07,3.139,
2002-10,3.118,
2003-01,3.266,
2003-04,3.237,
2003-07,4.292,
2003-10,4.232,
2004-01,4.150,
2004-04,4.327,
2004-07,4.331,
2004-10,4.397,
2005-01,4.806,
2005-04,4.929,
2005-07,5.021,
2005-10,4.965,
2006-01,4.935,
2006-04,4.963,
2006-07,4.990,
2006-10,5.006,
2007-01,5.006,
2007-04,5.041,
2007-07,5.067,
2007-10,5.129,
2008-01,4.875,
2008-04,4.815,
2008-07,4.781,
2008-10,4.727,
2009-01,4.681,
2009-04,5.013,
2009-07,4.825,
2009-10,4.581,
2010-01,4.891,
2010-04,4.877,
2010-07,4.911,
2010-10,4.936,
2011-01,4.947,
2011-04,4.943,
2011-07,4.980,
2011-10,4.966,
2012-01,4.955,
2012-04,4.964,
2012-07,5.021,
2012-10,5.053,
2013-01,5.077,
2013-04,5.101,
2013-07,5.133,
2013-10,5.147,
2014-01,5.154,
2014-04,5.126,
2014-07,5.176,
