"",BBSF2.M.1.P.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Public funds / Mixed funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:54,
2009-09,174,
2009-10,168,
2009-11,163,
2009-12,73,
2010-01,91,
2010-02,131,
2010-03,129,
2010-04,178,
2010-05,170,
2010-06,151,
2010-07,133,
2010-08,137,
2010-09,139,
2010-10,143,
2010-11,153,
2010-12,193,
2011-01,182,
2011-02,237,
2011-03,267,
2011-04,307,
2011-05,341,
2011-06,355,
2011-07,378,
2011-08,298,
2011-09,247,
2011-10,241,
2011-11,263,
2011-12,240,
2012-01,244,
2012-02,247,
2012-03,144,
2012-04,148,
2012-05,155,
2012-06,154,
2012-07,124,
2012-08,124,
2012-09,127,
2012-10,129,
2012-11,106,
2012-12,137,
2013-01,101,
2013-02,101,
2013-03,98,
2013-04,97,
2013-05,92,
2013-06,105,
2013-07,139,
2013-08,147,
2013-09,193,
2013-10,197,
2013-11,193,
2013-12,150,
2014-01,206,
2014-02,214,
2014-03,161,
2014-04,150,
2014-05,113,
2014-06,116,
2014-07,102,
2014-08,49,
2014-09,45,
2014-10,107,
2014-11,113,
