"",BBK01.CE3K0C,BBK01.CE3K0C_FLAGS
"",Net financial assets debtor: All sectors                   creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:22,
1991-01,-109.6,
1991-04,-107.9,
1991-07,-118.2,
1991-10,-126.7,
1992-01,-140.8,
1992-04,-143.2,
1992-07,-166.3,
1992-10,-241.3,
1993-01,-269.0,
1993-04,-267.0,
1993-07,-290.1,
1993-10,-306.4,
1994-01,-323.4,
1994-04,-312.1,
1994-07,-320.8,
1994-10,-336.2,
1995-01,-445.2,
1995-04,-452.7,
1995-07,-495.0,
1995-10,-530.9,
1996-01,-536.6,
1996-04,-544.5,
1996-07,-568.8,
1996-10,-595.0,
1997-01,-607.7,
1997-04,-617.2,
1997-07,-632.3,
1997-10,-605.1,
1998-01,-633.2,
1998-04,-625.9,
1998-07,-687.5,
1998-10,-701.7,
1999-01,-740.5,
1999-04,-735.9,
1999-07,-733.3,
1999-10,-691.3,
2000-01,-699.2,
2000-04,-691.3,
2000-07,-647.5,
2000-10,-696.2,
2001-01,-726.0,
2001-04,-712.5,
2001-07,-747.1,
2001-10,-763.6,
2002-01,-773.8,
2002-04,-788.0,
2002-07,-837.2,
2002-10,-863.2,
2003-01,-907.1,
2003-04,-937.8,
2003-07,-942.8,
2003-10,-933.9,
2004-01,-980.3,
2004-04,-971.7,
2004-07,-1012.4,
2004-10,-1039.5,
2005-01,-1055.1,
2005-04,-1096.1,
2005-07,-1108.9,
2005-10,-1104.9,
2006-01,-1106.2,
2006-04,-1093.5,
2006-07,-1118.8,
2006-10,-1108.8,
2007-01,-1105.4,
2007-04,-1057.7,
2007-07,-1081.8,
2007-10,-1036.3,
2008-01,-1065.9,
2008-04,-1016.2,
2008-07,-1032.9,
2008-10,-1101.2,
2009-01,-1114.2,
2009-04,-1096.5,
2009-07,-1134.7,
2009-10,-1164.3,
2010-01,-1189.0,
2010-04,-1222.3,
2010-07,-1278.6,
2010-10,-1232.8,
2011-01,-1211.3,
2011-04,-1215.5,
2011-07,-1309.3,
2011-10,-1318.1,
2012-01,-1327.1,
2012-04,-1348.3,
2012-07,-1333.0,
2012-10,-1334.5,
2013-01,-1329.3,
2013-04,-1296.0,
2013-07,-1263.7,
2013-10,-1255.4,
2014-01,-1276.2,
