"",BBK01.OEXJ08N,BBK01.OEXJ08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:07,
2002-01,0.015,
2002-04,0.018,
2002-07,0.018,
2002-10,0.014,
2003-01,0.014,
2003-04,0.015,
2003-07,0.015,
2003-10,0.015,
2004-01,0.015,
2004-04,0.016,
2004-07,0.016,
2004-10,0.012,
2005-01,0.011,
2005-04,0.010,
2005-07,0.010,
2005-10,0.009,
2006-01,0.009,
2006-04,0.010,
2006-07,0.011,
2006-10,0.011,
2007-01,0.023,
2007-04,0.025,
2007-07,0.028,
2007-10,0.028,
2008-01,0.030,
2008-04,0.036,
2008-07,0.077,
2008-10,0.092,
2009-01,0.091,
2009-04,0.095,
2009-07,0.097,
2009-10,0.108,
2010-01,0.187,
2010-04,0.184,
2010-07,0.186,
2010-10,0.185,
2011-01,0.183,
2011-04,0.188,
2011-07,0.190,
2011-10,0.008,
2012-01,0.009,
2012-04,0.009,
2012-07,0.010,
2012-10,0.010,
2013-01,0.010,
2013-04,0.012,
2013-07,0.012,
2013-10,0.011,
2014-01,0.011,
2014-04,0.011,
2014-07,0.010,
