"",BBK01.OEHB16J,BBK01.OEHB16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:34,
2002-01,1.505,
2002-04,1.498,
2002-07,1.493,
2002-10,1.496,
2003-01,1.456,
2003-04,1.470,
2003-07,1.447,
2003-10,1.467,
2004-01,1.468,
2004-04,1.476,
2004-07,1.481,
2004-10,1.483,
2005-01,1.620,
2005-04,1.627,
2005-07,1.633,
2005-10,1.646,
2006-01,1.620,
2006-04,1.687,
2006-07,1.708,
2006-10,1.627,
2007-01,1.608,
2007-04,1.600,
2007-07,1.575,
2007-10,1.578,
2008-01,1.577,
2008-04,1.535,
2008-07,1.531,
2008-10,1.552,
2009-01,1.522,
2009-04,1.514,
2009-07,1.352,
2009-10,1.344,
2010-01,1.301,
2010-04,1.296,
2010-07,1.286,
2010-10,1.276,
2011-01,1.250,
2011-04,1.248,
2011-07,1.235,
2011-10,1.226,
2012-01,1.216,
2012-04,1.201,
2012-07,1.202,
2012-10,1.215,
2013-01,1.220,
2013-04,1.214,
2013-07,1.212,
2013-10,1.195,
2014-01,1.210,
2014-04,1.227,
2014-07,1.309,
