"",BBSF2.M.1.S.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Funds total / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:01,
2009-09,455975,
2009-10,458239,
2009-11,464667,
2009-12,471994,
2010-01,480643,
2010-02,485344,
2010-03,493866,
2010-04,491970,
2010-05,495102,
2010-06,496033,
2010-07,498678,
2010-08,514469,
2010-09,512867,
2010-10,516667,
2010-11,509952,
2010-12,505156,
2011-01,500520,
2011-02,504494,
2011-03,503961,
2011-04,502499,
2011-05,508407,
2011-06,505884,
2011-07,511951,
2011-08,514961,
2011-09,513759,
2011-10,514900,
2011-11,506839,
2011-12,522417,
2012-01,527978,
2012-02,541127,
2012-03,547223,
2012-04,550291,
2012-05,560893,
2012-06,559831,
2012-07,576155,
2012-08,580805,
2012-09,583821,
2012-10,588151,
2012-11,596844,
2012-12,602478,
2013-01,596626,
2013-02,605488,
2013-03,612773,
2013-04,623392,
2013-05,619499,
2013-06,607429,
2013-07,614033,
2013-08,613355,
2013-09,617203,
2013-10,619208,
2013-11,626928,
2013-12,623366,
2014-01,636130,
2014-02,638974,
2014-03,651357,
2014-04,654391,
2014-05,666552,
2014-06,673608,
2014-07,680306,
2014-08,694176,
2014-09,699944,
2014-10,707433,
2014-11,718267,
