"",BBK01.OEAI08N,BBK01.OEAI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:53,
2002-01,125.936,
2002-04,124.032,
2002-07,123.406,
2002-10,129.051,
2003-01,131.228,
2003-04,131.550,
2003-07,132.606,
2003-10,135.609,
2004-01,135.946,
2004-04,135.746,
2004-07,135.984,
2004-10,102.358,
2005-01,109.894,
2005-04,109.505,
2005-07,109.055,
2005-10,109.498,
2006-01,109.175,
2006-04,107.669,
2006-07,104.941,
2006-10,103.225,
2007-01,100.254,
2007-04,97.743,
2007-07,95.188,
2007-10,95.001,
2008-01,93.539,
2008-04,92.192,
2008-07,89.993,
2008-10,91.552,
2009-01,94.446,
2009-04,97.112,
2009-07,100.477,
2009-10,104.810,
2010-01,107.930,
2010-04,109.525,
2010-07,110.994,
2010-10,113.927,
2011-01,114.875,
2011-04,113.429,
2011-07,111.804,
2011-10,112.631,
2012-01,112.796,
2012-04,112.432,
2012-07,112.815,
2012-10,114.123,
2013-01,113.969,
2013-04,114.069,
2013-07,114.160,
2013-10,115.303,
2014-01,115.078,
2014-04,114.273,
2014-07,114.120,
