"",BBK01.OECO02K,BBK01.OECO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:34,
2002-01,0.262,
2002-04,0.170,
2002-07,0.115,
2002-10,0.188,
2003-01,0.151,
2003-04,0.138,
2003-07,0.232,
2003-10,0.138,
2004-01,0.178,
2004-04,0.135,
2004-07,0.344,
2004-10,0.301,
2005-01,0.607,
2005-04,0.506,
2005-07,0.441,
2005-10,0.409,
2006-01,0.471,
2006-04,0.467,
2006-07,0.432,
2006-10,0.452,
2007-01,0.719,
2007-04,0.440,
2007-07,0.387,
2007-10,0.440,
2008-01,0.476,
2008-04,0.511,
2008-07,0.398,
2008-10,0.640,
2009-01,0.694,
2009-04,0.566,
2009-07,0.908,
2009-10,0.571,
2010-01,0.660,
2010-04,0.447,
2010-07,0.333,
2010-10,0.384,
2011-01,0.443,
2011-04,0.419,
2011-07,0.463,
2011-10,0.378,
2012-01,0.723,
2012-04,0.301,
2012-07,0.596,
2012-10,0.357,
2013-01,0.423,
2013-04,0.262,
2013-07,0.237,
2013-10,0.247,
2014-01,0.166,
2014-04,0.145,
2014-07,0.222,
