"",BBK01.OEBB06H,BBK01.OEBB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:42,
2002-01,26.229,
2002-04,26.645,
2002-07,25.680,
2002-10,26.059,
2003-01,23.166,
2003-04,22.427,
2003-07,22.666,
2003-10,22.510,
2004-01,19.858,
2004-04,19.693,
2004-07,19.715,
2004-10,18.321,
2005-01,18.342,
2005-04,18.924,
2005-07,20.239,
2005-10,17.083,
2006-01,24.554,
2006-04,20.136,
2006-07,25.116,
2006-10,20.830,
2007-01,24.168,
2007-04,21.114,
2007-07,26.076,
2007-10,21.428,
2008-01,28.005,
2008-04,34.987,
2008-07,35.854,
2008-10,18.452,
2009-01,22.440,
2009-04,25.244,
2009-07,25.981,
2009-10,22.187,
2010-01,22.754,
2010-04,21.007,
2010-07,23.951,
2010-10,21.005,
2011-01,20.252,
2011-04,22.417,
2011-07,20.283,
2011-10,22.672,
2012-01,28.319,
2012-04,23.714,
2012-07,28.502,
2012-10,20.959,
2013-01,26.173,
2013-04,28.857,
2013-07,17.064,
2013-10,16.869,
2014-01,15.538,
2014-04,15.218,
2014-07,16.524,
