"",BBK01.OEHB06J,BBK01.OEHB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:29,
2002-01,1.433,
2002-04,1.502,
2002-07,1.463,
2002-10,1.332,
2003-01,1.320,
2003-04,1.272,
2003-07,1.260,
2003-10,1.223,
2004-01,1.204,
2004-04,1.255,
2004-07,1.188,
2004-10,1.071,
2005-01,1.167,
2005-04,1.143,
2005-07,1.108,
2005-10,1.151,
2006-01,1.119,
2006-04,1.081,
2006-07,1.063,
2006-10,1.106,
2007-01,1.035,
2007-04,0.991,
2007-07,0.926,
2007-10,1.035,
2008-01,1.032,
2008-04,1.082,
2008-07,1.171,
2008-10,1.173,
2009-01,1.316,
2009-04,1.304,
2009-07,1.292,
2009-10,1.089,
2010-01,1.163,
2010-04,1.284,
2010-07,1.135,
2010-10,1.251,
2011-01,1.245,
2011-04,1.229,
2011-07,1.294,
2011-10,1.206,
2012-01,1.327,
2012-04,1.353,
2012-07,1.336,
2012-10,1.311,
2013-01,1.295,
2013-04,1.233,
2013-07,1.205,
2013-10,1.177,
2014-01,1.167,
2014-04,1.132,
2014-07,1.059,
