"",BBK01.OELB07I,BBK01.OELB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:30,
2002-01,0.625,
2002-04,0.707,
2002-07,0.724,
2002-10,0.667,
2003-01,0.641,
2003-04,0.627,
2003-07,0.615,
2003-10,0.576,
2004-01,0.535,
2004-04,0.534,
2004-07,0.552,
2004-10,0.561,
2005-01,0.529,
2005-04,0.522,
2005-07,0.538,
2005-10,0.524,
2006-01,0.521,
2006-04,0.516,
2006-07,0.509,
2006-10,0.461,
2007-01,0.451,
2007-04,0.456,
2007-07,0.446,
2007-10,0.429,
2008-01,0.445,
2008-04,0.445,
2008-07,0.441,
2008-10,0.454,
2009-01,0.473,
2009-04,0.488,
2009-07,0.512,
2009-10,0.506,
2010-01,0.515,
2010-04,0.531,
2010-07,0.519,
2010-10,0.543,
2011-01,0.568,
2011-04,0.591,
2011-07,0.583,
2011-10,0.612,
2012-01,0.611,
2012-04,0.728,
2012-07,0.733,
2012-10,0.753,
2013-01,0.776,
2013-04,0.793,
2013-07,0.814,
2013-10,0.830,
2014-01,0.871,
2014-04,0.915,
2014-07,0.943,
