"",BBNZ1.Q.DE.N.H.0106.A,BBNZ1.Q.DE.N.H.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:33,
1991-01,70.49,
1991-04,71.34,
1991-07,73.62,
1991-10,77.77,
1992-01,75.26,
1992-04,75.88,
1992-07,77.14,
1992-10,81.03,
1993-01,77.13,
1993-04,76.77,
1993-07,76.89,
1993-10,80.17,
1994-01,78.52,
1994-04,78.88,
1994-07,79.20,
1994-10,84.08,
1995-01,78.67,
1995-04,80.22,
1995-07,81.84,
1995-10,87.22,
1996-01,81.66,
1996-04,82.66,
1996-07,84.00,
1996-10,87.97,
1997-01,83.63,
1997-04,84.14,
1997-07,84.36,
1997-10,86.99,
1998-01,85.06,
1998-04,85.60,
1998-07,85.97,
1998-10,89.71,
1999-01,86.77,
1999-04,86.17,
1999-07,86.96,
1999-10,90.42,
2000-01,87.94,
2000-04,87.37,
2000-07,87.44,
2000-10,92.31,
2001-01,88.23,
2001-04,87.70,
2001-07,87.72,
2001-10,93.22,
2002-01,88.60,
2002-04,88.72,
2002-07,89.29,
2002-10,94.58,
2003-01,89.22,
2003-04,89.14,
2003-07,90.07,
2003-10,94.62,
2004-01,89.29,
2004-04,88.64,
2004-07,89.58,
2004-10,92.68,
2005-01,88.96,
2005-04,89.87,
2005-07,89.86,
2005-10,93.21,
2006-01,90.60,
2006-04,89.89,
2006-07,90.92,
2006-10,94.11,
2007-01,92.13,
2007-04,91.53,
2007-07,91.85,
2007-10,95.44,
2008-01,94.39,
2008-04,95.18,
2008-07,95.05,
2008-10,98.81,
2009-01,97.93,
2009-04,97.16,
2009-07,98.46,
2009-10,101.33,
2010-01,100.13,
2010-04,97.89,
2010-07,99.52,
2010-10,102.46,
2011-01,100.56,
2011-04,98.83,
2011-07,99.79,
2011-10,103.50,
2012-01,101.49,
2012-04,100.30,
2012-07,101.36,
2012-10,104.54,
2013-01,102.63,
2013-04,100.59,
2013-07,102.41,
2013-10,105.00,
2014-01,103.23,
2014-04,101.79,
2014-07,103.74,
2014-10,106.57,
