"",BBK01.OEAC20T,BBK01.OEAC20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:50,
2002-01,0.284,
2002-04,0.274,
2002-07,0.298,
2002-10,0.268,
2003-01,0.258,
2003-04,0.245,
2003-07,0.272,
2003-10,0.278,
2004-01,0.243,
2004-04,0.229,
2004-07,0.261,
2004-10,0.220,
2005-01,0.245,
2005-04,0.190,
2005-07,0.218,
2005-10,0.192,
2006-01,0.197,
2006-04,0.183,
2006-07,0.213,
2006-10,0.188,
2007-01,0.176,
2007-04,0.154,
2007-07,0.215,
2007-10,0.203,
2008-01,0.189,
2008-04,0.159,
2008-07,0.213,
2008-10,0.197,
2009-01,0.181,
2009-04,0.154,
2009-07,0.150,
2009-10,0.128,
2010-01,0.136,
2010-04,0.132,
2010-07,0.135,
2010-10,0.129,
2011-01,0.132,
2011-04,0.130,
2011-07,0.133,
2011-10,0.124,
2012-01,0.142,
2012-04,0.144,
2012-07,0.152,
2012-10,0.147,
2013-01,0.158,
2013-04,0.146,
2013-07,0.148,
2013-10,0.133,
2014-01,0.136,
2014-04,0.123,
2014-07,0.136,
