"",BBK01.OEAA26Q,BBK01.OEAA26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:19,
2002-01,2.477,
2002-04,2.452,
2002-07,2.438,
2002-10,2.446,
2003-01,2.508,
2003-04,2.870,
2003-07,2.717,
2003-10,2.231,
2004-01,2.218,
2004-04,2.044,
2004-07,1.983,
2004-10,1.878,
2005-01,1.882,
2005-04,1.921,
2005-07,1.900,
2005-10,1.849,
2006-01,1.881,
2006-04,1.880,
2006-07,1.810,
2006-10,1.650,
2007-01,1.705,
2007-04,1.749,
2007-07,1.719,
2007-10,1.628,
2008-01,1.644,
2008-04,1.637,
2008-07,1.559,
2008-10,1.539,
2009-01,1.572,
2009-04,1.605,
2009-07,1.556,
2009-10,1.382,
2010-01,1.429,
2010-04,1.455,
2010-07,1.364,
2010-10,1.322,
2011-01,1.207,
2011-04,1.237,
2011-07,1.190,
2011-10,1.184,
2012-01,1.233,
2012-04,1.300,
2012-07,1.164,
2012-10,1.113,
2013-01,1.194,
2013-04,1.240,
2013-07,1.148,
2013-10,1.059,
2014-01,1.073,
2014-04,1.116,
2014-07,1.076,
