"",BBK01.TU2012,BBK01.TU2012_FLAGS
"",Foreign branches: Lending to german non-banks (non-MFIs) (loans) (of which enterprises and households),
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:35:11,
1973-06,0.016,
1973-07,0.016,
1973-08,0.012,
1973-09,0.010,
1973-10,0.019,
1973-11,0.024,
1973-12,0.021,
1974-01,0.024,
1974-02,0.022,
1974-03,0.020,
1974-04,0.019,
1974-05,0.015,
1974-06,0.013,
1974-07,0.030,
1974-08,0.026,
1974-09,0.065,
1974-10,0.054,
1974-11,0.059,
1974-12,0.069,
1975-01,0.098,
1975-02,0.114,
1975-03,0.109,
1975-04,0.125,
1975-05,0.164,
1975-06,0.168,
1975-07,0.214,
1975-08,0.276,
1975-09,0.308,
1975-10,0.349,
1975-11,0.343,
1975-12,0.374,
1976-01,0.382,
1976-02,0.409,
1976-03,0.377,
1976-04,0.366,
1976-05,0.371,
1976-06,0.365,
1976-07,0.486,
1976-08,0.571,
1976-09,0.559,
1976-10,0.809,
1976-11,0.783,
1976-12,0.750,
1977-01,0.777,
1977-02,0.821,
1977-03,0.823,
1977-04,0.779,
1977-05,0.865,
1977-06,0.928,
1977-07,0.719,
1977-08,0.825,
1977-09,0.791,
1977-10,0.827,
1977-11,0.854,
1977-12,1.143,
1978-01,1.180,
1978-02,1.129,
1978-03,1.134,
1978-04,1.012,
1978-05,0.939,
1978-06,0.985,
1978-07,1.040,
1978-08,1.050,
1978-09,1.164,
1978-10,1.176,
1978-11,1.293,
1978-12,1.151,
1979-01,1.238,
1979-02,1.249,
1979-03,1.199,
1979-04,1.262,
1979-05,1.057,
1979-06,1.180,
1979-07,1.197,
1979-08,1.250,
1979-09,1.098,
1979-10,0.899,
1979-11,1.394,
1979-12,1.508,
1980-01,1.841,
1980-02,1.967,
1980-03,2.162,
1980-04,2.063,
1980-05,2.187,
1980-06,2.348,
1980-07,2.512,
1980-08,2.772,
1980-09,2.889,
1980-10,2.842,
1980-11,2.964,
