"",BBFN1.M.DE.N.1.L.A1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:21,
1995-01,0.580,
1995-02,0.452,
1995-03,0.519,
1995-04,0.528,
1995-05,0.520,
1995-06,0.507,
1995-07,0.429,
1995-08,0.410,
1995-09,0.852,
1995-10,0.915,
1995-11,1.131,
1995-12,1.121,
1996-01,1.116,
1996-02,1.115,
1996-03,1.124,
1996-04,1.136,
1996-05,1.181,
1996-06,1.186,
1996-07,1.184,
1996-08,1.188,
1996-09,1.169,
1996-10,1.164,
1996-11,1.165,
1996-12,1.136,
1997-01,1.143,
1997-02,1.144,
1997-03,1.139,
1997-04,1.145,
1997-05,1.064,
1997-06,1.095,
1997-07,1.113,
1997-08,1.112,
1997-09,1.110,
1997-10,1.076,
1997-11,1.069,
1997-12,1.224,
1998-01,1.259,
1998-02,1.304,
1998-03,1.339,
1998-04,1.372,
1998-05,1.376,
1998-06,1.377,
1998-07,1.373,
1998-08,1.236,
1998-09,1.380,
1998-10,1.201,
1998-11,1.169,
1998-12,1.174,
1999-01,1.207,
1999-02,1.203,
1999-03,1.215,
1999-04,1.444,
1999-05,1.548,
1999-06,1.594,
1999-07,1.628,
1999-08,1.543,
1999-09,1.523,
1999-10,1.525,
1999-11,1.533,
1999-12,1.491,
2000-01,1.417,
2000-02,1.432,
2000-03,1.525,
2000-04,1.507,
2000-05,1.515,
2000-06,0.970,
2000-07,0.980,
2000-08,1.001,
2000-09,0.999,
2000-10,1.002,
2000-11,1.060,
2000-12,1.034,
2001-01,1.014,
2001-02,0.943,
2001-03,0.852,
2001-04,0.977,
2001-05,0.981,
2001-06,0.994,
2001-07,1.116,
2001-08,1.102,
2001-09,1.077,
2001-10,1.079,
2001-11,1.053,
2001-12,1.065,
2002-01,1.094,
2002-02,1.101,
2002-03,1.082,
2002-04,1.107,
2002-05,1.080,
2002-06,0.933,
2002-07,0.921,
2002-08,0.911,
2002-09,0.877,
2002-10,0.878,
2002-11,0.903,
2002-12,1.056,
2003-01,1.038,
2003-02,1.089,
2003-03,1.041,
2003-04,0.847,
2003-05,0.880,
2003-06,0.939,
2003-07,0.878,
2003-08,0.890,
2003-09,0.944,
2003-10,1.027,
2003-11,1.013,
2003-12,0.972,
2004-01,0.950,
2004-02,1.901,
2004-03,1.955,
2004-04,2.363,
2004-05,2.344,
2004-06,2.295,
2004-07,2.309,
2004-08,2.309,
2004-09,2.099,
2004-10,2.005,
2004-11,1.691,
2004-12,1.673,
2005-01,1.713,
2005-02,1.706,
2005-03,1.712,
2005-04,1.715,
2005-05,1.750,
2005-06,1.771,
2005-07,1.766,
2005-08,1.770,
2005-09,1.775,
2005-10,1.857,
2005-11,1.897,
2005-12,1.873,
2006-01,2.677,
2006-02,2.710,
2006-03,2.714,
2006-04,2.688,
2006-05,2.662,
2006-06,2.655,
2006-07,2.736,
2006-08,2.716,
2006-09,2.717,
2006-10,2.683,
2006-11,2.833,
2006-12,2.100,
2007-01,2.065,
2007-02,2.109,
2007-03,2.907,
2007-04,2.846,
2007-05,2.840,
2007-06,2.940,
2007-07,3.037,
2007-08,2.787,
2007-09,2.828,
2007-10,2.815,
2007-11,2.643,
2007-12,2.636,
2008-01,2.675,
2008-02,3.816,
2008-03,3.625,
2008-04,3.891,
2008-05,3.890,
2008-06,4.200,
2008-07,4.163,
2008-08,4.269,
2008-09,4.029,
2008-10,3.929,
2008-11,4.045,
2008-12,3.977,
2009-01,4.540,
2009-02,4.448,
2009-03,3.085,
2009-04,3.493,
2009-05,3.529,
2009-06,3.439,
2009-07,3.746,
2009-08,3.956,
2009-09,3.953,
2009-10,4.019,
2009-11,3.807,
2009-12,3.942,
2010-01,3.838,
2010-02,3.710,
2010-03,3.828,
2010-04,3.917,
2010-05,4.016,
2010-06,3.644,
2010-07,3.828,
2010-08,3.870,
2010-09,3.710,
2010-10,3.643,
2010-11,3.670,
2010-12,3.658,
2011-01,3.569,
2011-02,3.554,
2011-03,3.539,
2011-04,3.756,
2011-05,4.245,
2011-06,4.097,
2011-07,4.057,
2011-08,3.882,
2011-09,4.038,
2011-10,4.144,
2011-11,4.134,
2011-12,4.006,
2012-01,3.991,
2012-02,2.966,
2012-03,3.047,
2012-04,3.626,
2012-05,4.115,
2012-06,4.047,
2012-07,3.798,
2012-08,3.914,
2012-09,3.869,
2012-10,3.891,
2012-11,4.267,
2012-12,3.582,
2013-01,3.633,
2013-02,4.757,
2013-03,4.563,
2013-04,5.050,
2013-05,4.956,
2013-06,4.544,
2013-07,4.574,
2013-08,3.036,
2013-09,4.427,
2013-10,4.371,
2013-11,4.625,
2013-12,4.474,
2014-01,4.739,
2014-02,4.693,
2014-03,5.049,
2014-04,5.001,
2014-05,4.809,
2014-06,4.686,
2014-07,4.702,
2014-08,4.844,
2014-09,5.162,
2014-10,4.603,
2014-11,4.894,
2014-12,5.005,
"",General: Up to December including Niederl.Antillen,
