"",BBK01.OELI04H,BBK01.OELI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:44,
2002-01,15.026,
2002-04,14.733,
2002-07,14.468,
2002-10,14.602,
2003-01,14.581,
2003-04,13.885,
2003-07,13.541,
2003-10,13.548,
2004-01,13.059,
2004-04,12.485,
2004-07,12.222,
2004-10,12.308,
2005-01,11.933,
2005-04,11.694,
2005-07,11.548,
2005-10,11.847,
2006-01,12.084,
2006-04,12.163,
2006-07,12.622,
2006-10,13.069,
2007-01,13.985,
2007-04,14.585,
2007-07,15.699,
2007-10,16.818,
2008-01,17.873,
2008-04,18.892,
2008-07,19.847,
2008-10,22.217,
2009-01,19.282,
2009-04,16.328,
2009-07,14.112,
2009-10,12.509,
2010-01,11.899,
2010-04,11.300,
2010-07,11.012,
2010-10,11.412,
2011-01,11.302,
2011-04,11.336,
2011-07,11.467,
2011-10,11.724,
2012-01,11.337,
2012-04,10.678,
2012-07,10.082,
2012-10,9.553,
2013-01,8.782,
2013-04,8.123,
2013-07,7.784,
2013-10,7.506,
2014-01,7.144,
2014-04,7.042,
2014-07,6.984,
