"",BBK01.OELL01O,BBK01.OELL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:41,
2002-01,21.824,
2002-04,21.791,
2002-07,21.601,
2002-10,22.072,
2003-01,22.203,
2003-04,22.107,
2003-07,21.896,
2003-10,22.271,
2004-01,22.275,
2004-04,22.305,
2004-07,22.143,
2004-10,22.479,
2005-01,22.513,
2005-04,22.590,
2005-07,22.432,
2005-10,22.610,
2006-01,22.399,
2006-04,22.464,
2006-07,22.238,
2006-10,22.278,
2007-01,21.966,
2007-04,22.189,
2007-07,21.996,
2007-10,21.897,
2008-01,21.600,
2008-04,21.504,
2008-07,21.251,
2008-10,22.295,
2009-01,22.494,
2009-04,22.772,
2009-07,22.811,
2009-10,23.483,
2010-01,23.818,
2010-04,24.031,
2010-07,24.124,
2010-10,24.543,
2011-01,24.529,
2011-04,24.709,
2011-07,24.632,
2011-10,25.079,
2012-01,25.047,
2012-04,25.142,
2012-07,25.166,
2012-10,25.522,
2013-01,25.385,
2013-04,25.462,
2013-07,25.427,
2013-10,25.907,
2014-01,26.338,
2014-04,26.546,
2014-07,26.548,
