"",BBFB1.Q.N.DE.AT.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:36,
1999-01,303.160,
1999-04,404.988,
1999-07,473.662,
1999-10,443.197,
2000-01,325.547,
2000-04,457.074,
2000-07,494.823,
2000-10,448.615,
2001-01,344.698,
2001-04,473.979,
2001-07,524.825,
2001-10,508.736,
2002-01,333.541,
2002-04,472.462,
2002-07,541.528,
2002-10,524.508,
2003-01,330.875,
2003-04,474.098,
2003-07,549.632,
2003-10,526.521,
2004-01,352.765,
2004-04,497.464,
2004-07,575.995,
2004-10,557.487,
2005-01,342.921,
2005-04,515.748,
2005-07,604.333,
2005-10,568.373,
2006-01,359.996,
2006-04,549.393,
2006-07,633.755,
2006-10,635.720,
2007-01,382.523,
2007-04,574.369,
2007-07,682.065,
2007-10,643.929,
2008-01,382.477,
2008-04,598.851,
2008-07,706.752,
2008-10,638.030,
2009-01,352.544,
2009-04,532.420,
2009-07,644.889,
2009-10,600.169,
2010-01,373.173,
2010-04,536.327,
2010-07,679.590,
2010-10,598.994,
2011-01,379.909,
2011-04,547.220,
2011-07,678.010,
2011-10,592.267,
2012-01,389.237,
2012-04,561.799,
2012-07,685.228,
2012-10,613.576,
2013-01,415.173,
2013-04,584.757,
2013-07,702.998,
2013-10,639.078,
2014-01,426.671,Provisional value
2014-04,603.600,Provisional value
2014-07,735.289,Provisional value
2014-10,666.850,Provisional value
