"",BBFB1.Q.N.DE.FI.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:09,
1991-01,21.051,
1991-04,28.713,
1991-07,25.476,
1991-10,-5.879,
1992-01,9.357,
1992-04,34.332,
1992-07,1.573,
1992-10,-7.705,
1993-01,51.607,
1993-04,9.038,
1993-07,-0.372,
1993-10,-11.948,
1994-01,10.479,
1994-04,10.359,
1994-07,6.517,
1994-10,2.989,
1995-01,54.455,
1995-04,3.644,
1995-07,19.101,
1995-10,4.866,
1996-01,18.041,
1996-04,1.782,
1996-07,-10.125,
1996-10,-7.398,
1997-01,22.765,
1997-04,27.133,
1997-07,-1.932,
1997-10,-3.102,
1998-01,3.882,
1998-04,4.311,
1998-07,-4.374,
1998-10,-31.534,
1999-01,19.523,
1999-04,-1.133,
1999-07,2.483,
1999-10,-12.994,
2000-01,11.865,
2000-04,-19.165,
2000-07,-23.358,
2000-10,-49.691,
2001-01,-53.901,
2001-04,-0.252,
2001-07,-71.199,
2001-10,-51.120,
2002-01,-33.463,
2002-04,-23.490,
2002-07,-31.979,
2002-10,8.716,
2003-01,-62.660,
2003-04,21.834,
2003-07,-78.215,
2003-10,6.833,
2004-01,-17.679,
2004-04,2.544,
2004-07,-64.330,
2004-10,-6.423,
2005-01,-27.416,
2005-04,13.634,
2005-07,-5.192,
2005-10,45.583,
2006-01,16.438,
2006-04,47.370,
2006-07,-73.472,
2006-10,47.190,
2007-01,-6.486,
2007-04,54.010,
2007-07,4.417,
2007-10,88.353,
2008-01,45.764,
2008-04,40.505,
2008-07,79.740,
2008-10,139.039,
2009-01,72.436,
2009-04,-26.232,
2009-07,-55.943,
2009-10,53.921,
2010-01,-35.742,
2010-04,11.697,
2010-07,-18.140,
2010-10,-41.230,
2011-01,-24.339,
2011-04,-83.170,
2011-07,-92.196,
2011-10,7.781,
2012-01,-73.251,
2012-04,-5.815,
2012-07,-109.896,
2012-10,-67.135,
2013-01,-61.540,
2013-04,-36.343,
2013-07,-22.691,
2013-10,-20.095,
2014-01,-51.902,Provisional value
2014-04,25.068,Provisional value
2014-07,-33.945,Provisional value
