"",BBK01.OEHM04K,BBK01.OEHM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:45,
2002-01,2.729,
2002-04,2.883,
2002-07,2.026,
2002-10,2.652,
2003-01,1.474,
2003-04,1.384,
2003-07,1.706,
2003-10,1.824,
2004-01,1.371,
2004-04,1.520,
2004-07,1.262,
2004-10,2.175,
2005-01,1.203,
2005-04,0.661,
2005-07,0.552,
2005-10,0.395,
2006-01,0.701,
2006-04,1.076,
2006-07,1.254,
2006-10,1.168,
2007-01,0.721,
2007-04,0.887,
2007-07,0.705,
2007-10,0.572,
2008-01,0.518,
2008-04,1.206,
2008-07,1.542,
2008-10,1.185,
2009-01,0.706,
2009-04,0.973,
2009-07,1.049,
2009-10,1.285,
2010-01,0.978,
2010-04,1.027,
2010-07,0.910,
2010-10,0.765,
2011-01,0.723,
2011-04,0.830,
2011-07,0.818,
2011-10,0.505,
2012-01,0.418,
2012-04,0.457,
2012-07,0.073,
2012-10,0.061,
2013-01,0.102,
2013-04,0.065,
2013-07,0.065,
2013-10,0.016,
2014-01,0.090,
2014-04,0.111,
2014-07,0.030,
