"",BBK01.OEHI06H,BBK01.OEHI06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:56,
2002-01,13.187,
2002-04,13.350,
2002-07,13.394,
2002-10,13.167,
2003-01,12.927,
2003-04,12.601,
2003-07,12.312,
2003-10,12.385,
2004-01,12.253,
2004-04,12.196,
2004-07,12.174,
2004-10,12.292,
2005-01,12.054,
2005-04,11.838,
2005-07,11.514,
2005-10,11.463,
2006-01,11.826,
2006-04,12.340,
2006-07,12.766,
2006-10,13.516,
2007-01,14.594,
2007-04,15.381,
2007-07,16.316,
2007-10,17.194,
2008-01,17.733,
2008-04,18.343,
2008-07,19.136,
2008-10,19.380,
2009-01,17.477,
2009-04,15.144,
2009-07,13.213,
2009-10,12.761,
2010-01,12.231,
2010-04,11.287,
2010-07,10.874,
2010-10,10.818,
2011-01,11.072,
2011-04,11.537,
2011-07,11.601,
2011-10,11.756,
2012-01,11.200,
2012-04,10.485,
2012-07,9.727,
2012-10,8.873,
2013-01,8.083,
2013-04,7.517,
2013-07,7.314,
2013-10,7.027,
2014-01,6.661,
2014-04,6.345,
2014-07,6.046,
