"",BBK01.OEAE11I,BBK01.OEAE11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:22,
2002-01,3.192,
2002-04,2.854,
2002-07,2.797,
2002-10,2.687,
2003-01,2.579,
2003-04,2.640,
2003-07,2.399,
2003-10,2.498,
2004-01,2.428,
2004-04,2.458,
2004-07,2.443,
2004-10,2.281,
2005-01,2.252,
2005-04,2.161,
2005-07,2.149,
2005-10,2.029,
2006-01,1.899,
2006-04,1.776,
2006-07,1.820,
2006-10,1.759,
2007-01,1.476,
2007-04,1.440,
2007-07,1.290,
2007-10,1.280,
2008-01,1.235,
2008-04,1.289,
2008-07,1.336,
2008-10,1.116,
2009-01,1.096,
2009-04,1.162,
2009-07,1.148,
2009-10,1.195,
2010-01,1.028,
2010-04,1.172,
2010-07,1.083,
2010-10,1.021,
2011-01,1.068,
2011-04,1.065,
2011-07,0.975,
2011-10,1.063,
2012-01,0.995,
2012-04,0.961,
2012-07,0.932,
2012-10,0.945,
2013-01,0.877,
2013-04,0.874,
2013-07,0.780,
2013-10,0.844,
2014-01,0.741,
2014-04,0.754,
2014-07,0.763,
