"",BBSF2.M.1.P.00000.ALT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.ALT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Pension investment funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:36:52,
2009-09,684,
2009-10,670,
2009-11,673,
2009-12,692,
2010-01,410,
2010-02,409,
2010-03,426,
2010-04,418,
2010-05,406,
2010-06,398,
2010-07,541,
2010-08,516,
2010-09,520,
2010-10,534,
2010-11,536,
2010-12,553,
2011-01,564,
2011-02,575,
2011-03,564,
2011-04,578,
2011-05,584,
2011-06,574,
2011-07,568,
2011-08,542,
2011-09,764,
2011-10,799,
2011-11,778,
2011-12,793,
2012-01,814,
2012-02,825,
2012-03,807,
2012-04,793,
2012-05,771,
2012-06,772,
2012-07,794,
2012-08,793,
2012-09,794,
2012-10,787,
2012-11,754,
2012-12,791,
2013-01,792,
2013-02,788,
2013-03,789,
2013-04,774,
2013-05,775,
2013-06,740,
2013-07,756,
2013-08,749,
2013-09,761,
2013-10,774,
2013-11,773,
2013-12,765,
2014-01,752,
2014-02,771,
2014-03,762,
2014-04,765,
2014-05,778,
2014-06,771,
2014-07,764,
2014-08,772,
2014-09,766,
2014-10,755,
2014-11,737,
