"",BBEX3.M.GHS.USD.CA.AA.A01,BBEX3.M.GHS.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Ghana / USD 1 = GHS ... (buying),
unit,GHS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:30,
2007-07,0.9230,
2007-08,0.9248,
2007-09,0.9317,
2007-10,0.9371,
2007-11,0.9455,
2007-12,0.9496,
2008-01,0.9579,
2008-02,0.9619,
2008-03,0.9641,
2008-04,0.9752,
2008-05,0.9865,
2008-06,1.0061,
2008-07,1.0455,
2008-08,1.0727,
2008-09,1.0975,
2008-10,1.1338,
2008-11,1.1649,
2008-12,1.1922,
2009-01,1.2468,
2009-02,1.3089,
2009-03,1.3503,
2009-04,1.3760,
2009-05,1.3985,
2009-06,1.4345,
2009-07,1.4485,
2009-08,1.4486,
2009-09,1.4406,
2009-10,1.4377,
2009-11,1.4258,
2009-12,1.4238,
2010-01,1.4187,
2010-02,1.4201,
2010-03,1.4119,
2010-04,1.4120,
2010-05,1.4114,
2010-06,1.4157,
2010-07,1.4246,
2010-08,1.4235,
2010-09,1.4229,
2010-10,1.4214,
2010-11,1.4266,
2010-12,1.4407,
2011-01,1.4622,
2011-02,1.4909,
2011-03,1.5021,
2011-04,1.5010,
2011-05,1.4887,
2011-06,1.4925,
2011-07,1.4930,
2011-08,1.4988,
2011-09,1.5183,
2011-10,1.5415,
2011-11,1.5535,
2011-12,1.5657,
2012-01,1.6493,
2012-02,1.6605,
2012-03,1.7134,
2012-04,1.7735,
2012-05,1.8484,
2012-06,1.8808,
2012-07,1.9080,
2012-08,1.9092,
2012-09,1.8835,
2012-10,1.8652,
2012-11,1.8690,
2012-12,1.8679,
2013-01,1.8990,
2013-02,1.9098,
2013-03,1.9372,
2013-04,1.9661,
2013-05,1.9710,
2013-06,1.9870,
2013-07,1.9912,
2013-08,1.9952,
2013-09,1.9975,
2013-10,2.0243,
2013-11,2.0805,
2013-12,2.1603,
2014-01,2.3950,
2014-02,2.5219,
2014-03,2.6787,
2014-04,2.7926,
2014-05,2.8907,
2014-06,3.0004,
2014-07,3.0324,
2014-08,3.1320,
2014-09,3.1960,
2014-10,3.1942,
2014-11,3.1942,
2014-12,3.1988,
2015-01,3.2385,
2015-02,3.4728,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Ghana, Accra.",
