"",BBK01.CEF8N0,BBK01.CEF8N0_FLAGS
"",MMF shares or units  debtor: Rest of the world                                                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:29,
1999-01,7.7,
1999-04,7.8,
1999-07,7.9,
1999-10,7.1,
2000-01,7.6,
2000-04,7.0,
2000-07,6.5,
2000-10,6.3,
2001-01,7.8,
2001-04,8.8,
2001-07,9.9,
2001-10,11.0,
2002-01,12.4,
2002-04,12.3,
2002-07,13.7,
2002-10,13.4,
2003-01,17.0,
2003-04,16.7,
2003-07,15.9,
2003-10,15.2,
2004-01,15.3,
2004-04,15.6,
2004-07,15.3,
2004-10,13.5,
2005-01,13.3,
2005-04,13.5,
2005-07,13.6,
2005-10,13.0,
2006-01,13.7,
2006-04,14.7,
2006-07,15.6,
2006-10,17.1,
2007-01,21.9,
2007-04,27.5,
2007-07,30.7,
2007-10,33.1,
2008-01,38.2,
2008-04,36.0,
2008-07,34.9,
2008-10,25.0,
2009-01,24.2,
2009-04,25.7,
2009-07,23.2,
2009-10,20.4,
2010-01,21.4,
2010-04,18.1,
2010-07,18.3,
2010-10,18.8,
2011-01,19.4,
2011-04,18.5,
2011-07,19.7,
2011-10,20.1,
2012-01,21.0,
2012-04,18.8,
2012-07,19.3,
2012-10,20.4,
2013-01,4.5,
2013-04,5.2,
2013-07,4.8,
2013-10,5.2,
2014-01,5.4,
2014-04,5.6,
2014-07,5.8,
