"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:42,
2009-09,1993,
2009-10,2060,
2009-11,2240,
2009-12,2091,
2010-01,1847,
2010-02,1878,
2010-03,2043,
2010-04,1538,
2010-05,1353,
2010-06,978,
2010-07,882,
2010-08,865,
2010-09,879,
2010-10,825,
2010-11,778,
2010-12,752,
2011-01,765,
2011-02,750,
2011-03,620,
2011-04,473,
2011-05,322,
2011-06,285,
2011-07,238,
2011-08,166,
2011-09,112,
2011-10,108,
2011-11,81,
2011-12,77,
2012-01,82,
2012-02,71,
2012-03,43,
2012-04,40,
2012-05,22,
2012-06,26,
2012-07,20,
2012-08,22,
2012-09,25,
2012-10,30,
2012-11,32,
2012-12,27,
2013-01,30,
2013-02,31,
2013-03,29,
2013-04,30,
2013-05,32,
2013-06,24,
2013-07,30,
2013-08,29,
2013-09,31,
2013-10,34,
2013-11,58,
2013-12,59,
2014-01,57,
2014-02,57,
2014-03,58,
2014-04,66,
2014-05,79,
2014-06,87,
2014-07,83,
2014-08,98,
2014-09,101,
2014-10,100,
2014-11,104,
