"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:28,
1991-01,-0.834,
1991-04,-0.834,
1991-07,-0.834,
1991-10,-0.834,
1992-01,-2.118,
1992-04,-2.118,
1992-07,-2.118,
1992-10,-2.118,
1993-01,-2.700,
1993-04,-2.700,
1993-07,-2.700,
1993-10,-2.700,
1994-01,58.105,
1994-04,58.105,
1994-07,58.105,
1994-10,58.105,
1995-01,-64.073,
1995-04,-64.073,
1995-07,-64.073,
1995-10,-64.073,
1996-01,19.097,
1996-04,19.250,
1996-07,19.250,
1996-10,19.250,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-3.000,
1999-04,-3.000,
1999-07,-3.000,
1999-10,-3.000,
2000-01,-1.000,
2000-04,-1.000,
2000-07,-1.000,
2000-10,-,Nothing exists
2001-01,0.264,
2001-04,-6.670,
2001-07,-2.670,
2001-10,-0.736,
2002-01,0.855,
2002-04,-3.973,
2002-07,1.111,
2002-10,-0.718,
2003-01,0.173,
2003-04,-0.791,
2003-07,0.227,
2003-10,0.260,
2004-01,-1.076,
2004-04,-2.145,
2004-07,0.915,
2004-10,0.951,
2005-01,2.175,
2005-04,-2.855,
2005-07,2.295,
2005-10,2.384,
2006-01,1.256,
2006-04,-3.646,
2006-07,1.549,
2006-10,1.841,
2007-01,0.000,
2007-04,-9.000,
2007-07,0.000,
2007-10,0.000,
2008-01,0.000,
2008-04,-3.000,
2008-07,0.000,
2008-10,0.000,
2009-01,0.000,
2009-04,0.000,
2009-07,0.000,
2009-10,0.000,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,-1.000,
2011-01,-,Nothing exists
2011-04,0.000,
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,0.000,
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
2014-10,-,Nothing exists
