"",BBK01.OEYB11T,BBK01.OEYB11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:42,
2002-01,0.030,
2002-04,0.029,
2002-07,0.028,
2002-10,0.033,
2003-01,0.035,
2003-04,0.033,
2003-07,0.035,
2003-10,0.037,
2004-01,0.061,
2004-04,0.057,
2004-07,0.057,
2004-10,0.157,
2005-01,0.160,
2005-04,0.155,
2005-07,0.149,
2005-10,0.149,
2006-01,0.153,
2006-04,0.148,
2006-07,0.149,
2006-10,0.147,
2007-01,0.162,
2007-04,0.130,
2007-07,0.129,
2007-10,0.141,
2008-01,0.137,
2008-04,0.140,
2008-07,0.142,
2008-10,0.145,
2009-01,0.151,
2009-04,0.064,
2009-07,0.054,
2009-10,0.049,
2010-01,0.041,
2010-04,0.072,
2010-07,0.123,
2010-10,0.110,
2011-01,0.125,
2011-04,0.147,
2011-07,0.153,
2011-10,0.172,
2012-01,0.198,
2012-04,0.229,
2012-07,0.210,
2012-10,0.158,
2013-01,0.166,
2013-04,0.225,
2013-07,0.190,
2013-10,0.174,
2014-01,0.153,
2014-04,0.191,
2014-07,0.198,
