"",BBK01.OELB12O,BBK01.OELB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:32,
2002-01,1.401,
2002-04,1.409,
2002-07,1.438,
2002-10,1.444,
2003-01,1.441,
2003-04,1.467,
2003-07,1.502,
2003-10,1.530,
2004-01,1.509,
2004-04,1.540,
2004-07,1.565,
2004-10,1.606,
2005-01,1.616,
2005-04,1.634,
2005-07,1.616,
2005-10,1.567,
2006-01,1.569,
2006-04,1.592,
2006-07,1.610,
2006-10,1.600,
2007-01,1.612,
2007-04,1.665,
2007-07,1.685,
2007-10,1.682,
2008-01,1.725,
2008-04,1.789,
2008-07,1.852,
2008-10,1.881,
2009-01,1.894,
2009-04,1.957,
2009-07,1.979,
2009-10,2.021,
2010-01,2.041,
2010-04,2.077,
2010-07,2.124,
2010-10,2.191,
2011-01,2.271,
2011-04,2.320,
2011-07,2.262,
2011-10,2.278,
2012-01,2.315,
2012-04,2.426,
2012-07,2.567,
2012-10,2.672,
2013-01,2.744,
2013-04,2.861,
2013-07,2.938,
2013-10,3.024,
2014-01,3.171,
2014-04,3.225,
2014-07,3.296,
