"",BBK01.OEHM09G,BBK01.OEHM09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:14,
2002-01,0.041,
2002-04,0.050,
2002-07,0.049,
2002-10,0.079,
2003-01,0.069,
2003-04,0.075,
2003-07,0.077,
2003-10,0.086,
2004-01,0.073,
2004-04,0.068,
2004-07,0.084,
2004-10,0.072,
2005-01,0.092,
2005-04,0.091,
2005-07,0.086,
2005-10,0.076,
2006-01,0.070,
2006-04,0.066,
2006-07,0.070,
2006-10,0.079,
2007-01,0.089,
2007-04,0.086,
2007-07,0.087,
2007-10,0.084,
2008-01,0.083,
2008-04,0.086,
2008-07,0.087,
2008-10,0.075,
2009-01,0.150,
2009-04,0.164,
2009-07,0.181,
2009-10,0.174,
2010-01,0.151,
2010-04,0.125,
2010-07,0.122,
2010-10,0.105,
2011-01,0.090,
2011-04,0.097,
2011-07,0.083,
2011-10,0.082,
2012-01,0.082,
2012-04,0.086,
2012-07,0.101,
2012-10,0.111,
2013-01,0.144,
2013-04,0.135,
2013-07,0.151,
2013-10,0.157,
2014-01,0.140,
2014-04,0.123,
2014-07,0.080,
