"",BBFN1.M.DE.N.1.L.NO.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:00,
1994-07,0.287,
1994-08,0.219,
1994-09,0.262,
1994-10,0.307,
1994-11,0.302,
1994-12,0.331,
1995-01,0.284,
1995-02,0.312,
1995-03,0.299,
1995-04,0.273,
1995-05,0.299,
1995-06,0.313,
1995-07,0.299,
1995-08,0.267,
1995-09,0.278,
1995-10,0.306,
1995-11,0.291,
1995-12,0.326,
1996-01,0.275,
1996-02,0.298,
1996-03,0.292,
1996-04,0.290,
1996-05,0.247,
1996-06,0.275,
1996-07,0.267,
1996-08,0.334,
1996-09,0.375,
1996-10,0.412,
1996-11,0.436,
1996-12,0.426,
1997-01,0.467,
1997-02,0.433,
1997-03,0.433,
1997-04,0.373,
1997-05,0.419,
1997-06,0.448,
1997-07,0.399,
1997-08,0.358,
1997-09,0.369,
1997-10,0.443,
1997-11,0.461,
1997-12,0.541,
1998-01,0.458,
1998-02,0.424,
1998-03,0.414,
1998-04,0.417,
1998-05,0.377,
1998-06,0.372,
1998-07,0.376,
1998-08,0.339,
1998-09,0.406,
1998-10,0.372,
1998-11,0.396,
1998-12,0.427,
1999-01,0.411,
1999-02,0.346,
1999-03,0.338,
1999-04,0.349,
1999-05,0.301,
1999-06,0.345,
1999-07,0.326,
1999-08,0.279,
1999-09,0.301,
1999-10,0.306,
1999-11,0.325,
1999-12,0.586,
2000-01,0.423,
2000-02,0.392,
2000-03,0.449,
2000-04,0.452,
2000-05,0.400,
2000-06,0.467,
2000-07,0.416,
2000-08,0.473,
2000-09,0.613,
2000-10,0.619,
2000-11,0.632,
2000-12,0.893,
2001-01,0.849,
2001-02,0.563,
2001-03,0.599,
2001-04,0.612,
2001-05,0.520,
2001-06,0.559,
2001-07,0.621,
2001-08,0.602,
2001-09,0.623,
2001-10,0.514,
2001-11,0.634,
2001-12,1.005,
2002-01,0.692,
2002-02,0.594,
2002-03,0.508,
2002-04,0.438,
2002-05,0.624,
2002-06,0.722,
2002-07,0.638,
2002-08,0.618,
2002-09,0.805,
2002-10,0.684,
2002-11,0.833,
2002-12,0.813,
2003-01,0.809,
2003-02,0.783,
2003-03,0.806,
2003-04,0.774,
2003-05,0.585,
2003-06,0.689,
2003-07,0.700,
2003-08,0.691,
2003-09,0.806,
2003-10,0.743,
2003-11,0.716,
2003-12,0.907,
2004-01,0.838,
2004-02,0.598,
2004-03,0.795,
2004-04,0.729,
2004-05,0.625,
2004-06,0.707,
2004-07,0.643,
2004-08,0.529,
2004-09,0.634,
2004-10,0.828,
2004-11,0.799,
2004-12,0.720,
2005-01,0.836,
2005-02,0.556,
2005-03,0.671,
2005-04,0.828,
2005-05,0.613,
2005-06,0.763,
2005-07,0.781,
2005-08,0.737,
2005-09,0.841,
2005-10,0.868,
2005-11,0.681,
2005-12,0.846,
2006-01,0.669,
2006-02,0.727,
2006-03,0.746,
2006-04,1.154,
2006-05,0.906,
2006-06,1.062,
2006-07,1.097,
2006-08,0.905,
2006-09,1.130,
2006-10,0.982,
2006-11,1.004,
2006-12,1.596,
2007-01,1.172,
2007-02,0.832,
2007-03,1.065,
2007-04,0.980,
2007-05,0.772,
2007-06,1.027,
2007-07,0.820,
2007-08,0.840,
2007-09,1.267,
2007-10,0.931,
2007-11,0.798,
2007-12,1.210,
2008-01,1.233,
2008-02,1.097,
2008-03,1.377,
2008-04,1.260,
2008-05,1.102,
2008-06,1.255,
2008-07,1.031,
2008-08,1.025,
2008-09,1.088,
2008-10,0.937,
2008-11,1.685,
2008-12,1.342,
2009-01,1.701,
2009-02,1.353,
2009-03,1.011,
2009-04,0.744,
2009-05,0.902,
2009-06,0.954,
2009-07,0.950,
2009-08,1.016,
2009-09,0.963,
2009-10,1.169,
2009-11,0.971,
2009-12,1.193,
2010-01,1.020,
2010-02,1.254,
2010-03,1.173,
2010-04,1.146,
2010-05,1.169,
2010-06,1.246,
2010-07,1.348,
2010-08,1.038,
2010-09,1.070,
2010-10,0.965,
2010-11,0.676,
2010-12,0.947,
2011-01,1.381,
2011-02,0.568,
2011-03,1.003,
2011-04,1.279,
2011-05,0.733,
2011-06,0.916,
2011-07,1.077,
2011-08,0.526,
2011-09,0.551,
2011-10,0.552,
2011-11,0.798,
2011-12,0.860,
2012-01,0.822,
2012-02,0.495,
2012-03,1.004,
2012-04,0.897,
2012-05,0.754,
2012-06,1.264,
2012-07,0.732,
2012-08,0.683,
2012-09,0.976,
2012-10,0.620,
2012-11,0.585,
2012-12,0.669,
2013-01,0.524,
2013-02,0.473,
2013-03,0.792,
2013-04,0.515,
2013-05,0.405,
2013-06,0.685,
2013-07,0.357,
2013-08,0.421,
2013-09,0.848,
2013-10,0.905,
2013-11,0.849,
2013-12,0.559,
2014-01,0.520,
2014-02,0.374,
2014-03,0.477,
2014-04,0.450,
2014-05,0.444,
2014-06,0.443,
2014-07,0.417,
2014-08,0.465,
2014-09,0.455,
2014-10,0.477,
2014-11,0.454,
2014-12,0.829,
