"",BBK01.OECL03Q,BBK01.OECL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:35,
2002-01,0.243,
2002-04,0.212,
2002-07,0.222,
2002-10,0.206,
2003-01,0.181,
2003-04,0.177,
2003-07,0.154,
2003-10,0.145,
2004-01,0.145,
2004-04,0.163,
2004-07,0.134,
2004-10,0.300,
2005-01,0.465,
2005-04,0.426,
2005-07,0.403,
2005-10,0.406,
2006-01,0.462,
2006-04,0.457,
2006-07,0.512,
2006-10,0.565,
2007-01,0.623,
2007-04,0.702,
2007-07,0.879,
2007-10,1.043,
2008-01,1.156,
2008-04,1.239,
2008-07,1.574,
2008-10,1.614,
2009-01,1.274,
2009-04,1.321,
2009-07,1.040,
2009-10,0.878,
2010-01,0.675,
2010-04,0.589,
2010-07,0.483,
2010-10,0.406,
2011-01,0.415,
2011-04,0.403,
2011-07,0.384,
2011-10,0.441,
2012-01,0.445,
2012-04,0.357,
2012-07,0.306,
2012-10,0.218,
2013-01,0.165,
2013-04,0.184,
2013-07,0.174,
2013-10,0.160,
2014-01,0.162,
2014-04,0.121,
2014-07,0.112,
