"",BBFN1.M.DE.N.1.L.CA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:37,
1994-07,0.200,
1994-08,0.208,
1994-09,0.209,
1994-10,0.216,
1994-11,0.218,
1994-12,0.241,
1995-01,0.287,
1995-02,0.286,
1995-03,0.279,
1995-04,0.297,
1995-05,0.286,
1995-06,0.257,
1995-07,0.244,
1995-08,0.234,
1995-09,0.244,
1995-10,0.238,
1995-11,0.238,
1995-12,0.245,
1996-01,0.209,
1996-02,0.157,
1996-03,0.171,
1996-04,0.190,
1996-05,0.184,
1996-06,0.170,
1996-07,0.148,
1996-08,0.166,
1996-09,0.178,
1996-10,0.178,
1996-11,0.175,
1996-12,0.195,
1997-01,0.174,
1997-02,0.182,
1997-03,0.186,
1997-04,0.193,
1997-05,0.206,
1997-06,0.228,
1997-07,0.217,
1997-08,0.181,
1997-09,0.228,
1997-10,0.215,
1997-11,0.216,
1997-12,0.221,
1998-01,0.206,
1998-02,0.261,
1998-03,0.230,
1998-04,0.222,
1998-05,0.206,
1998-06,0.233,
1998-07,0.212,
1998-08,0.219,
1998-09,0.247,
1998-10,0.224,
1998-11,0.198,
1998-12,0.196,
1999-01,0.185,
1999-02,0.177,
1999-03,0.216,
1999-04,0.225,
1999-05,0.233,
1999-06,0.245,
1999-07,0.208,
1999-08,0.228,
1999-09,0.256,
1999-10,0.238,
1999-11,0.248,
1999-12,0.311,
2000-01,0.319,
2000-02,0.341,
2000-03,0.360,
2000-04,0.393,
2000-05,0.391,
2000-06,0.367,
2000-07,0.370,
2000-08,0.361,
2000-09,0.412,
2000-10,0.396,
2000-11,0.434,
2000-12,0.467,
2001-01,0.438,
2001-02,0.418,
2001-03,0.395,
2001-04,0.430,
2001-05,0.391,
2001-06,0.392,
2001-07,0.405,
2001-08,0.384,
2001-09,0.403,
2001-10,0.425,
2001-11,0.419,
2001-12,0.439,
2002-01,0.352,
2002-02,0.350,
2002-03,0.349,
2002-04,0.378,
2002-05,0.415,
2002-06,0.416,
2002-07,0.582,
2002-08,0.574,
2002-09,0.480,
2002-10,0.478,
2002-11,0.504,
2002-12,0.525,
2003-01,0.416,
2003-02,0.402,
2003-03,0.439,
2003-04,0.468,
2003-05,0.455,
2003-06,0.448,
2003-07,0.508,
2003-08,0.494,
2003-09,0.224,
2003-10,0.258,
2003-11,0.252,
2003-12,0.473,
2004-01,0.266,
2004-02,0.256,
2004-03,0.333,
2004-04,0.318,
2004-05,0.302,
2004-06,0.313,
2004-07,0.292,
2004-08,0.261,
2004-09,0.359,
2004-10,0.244,
2004-11,0.241,
2004-12,0.321,
2005-01,0.184,
2005-02,0.193,
2005-03,0.257,
2005-04,0.234,
2005-05,0.224,
2005-06,0.275,
2005-07,0.225,
2005-08,0.194,
2005-09,0.220,
2005-10,0.196,
2005-11,0.269,
2005-12,0.279,
2006-01,0.229,
2006-02,0.212,
2006-03,0.229,
2006-04,0.267,
2006-05,0.252,
2006-06,0.274,
2006-07,0.266,
2006-08,0.242,
2006-09,0.323,
2006-10,0.299,
2006-11,0.305,
2006-12,0.333,
2007-01,0.317,
2007-02,0.286,
2007-03,0.292,
2007-04,0.324,
2007-05,0.276,
2007-06,0.318,
2007-07,0.308,
2007-08,0.285,
2007-09,0.352,
2007-10,0.278,
2007-11,0.285,
2007-12,0.371,
2008-01,0.310,
2008-02,0.291,
2008-03,0.289,
2008-04,0.279,
2008-05,0.241,
2008-06,0.298,
2008-07,0.306,
2008-08,0.259,
2008-09,0.257,
2008-10,0.279,
2008-11,0.295,
2008-12,0.438,
2009-01,0.345,
2009-02,0.321,
2009-03,0.344,
2009-04,0.386,
2009-05,0.261,
2009-06,0.339,
2009-07,0.357,
2009-08,0.271,
2009-09,0.333,
2009-10,0.326,
2009-11,0.338,
2009-12,0.347,
2010-01,0.333,
2010-02,0.332,
2010-03,0.348,
2010-04,0.340,
2010-05,0.357,
2010-06,0.350,
2010-07,0.534,
2010-08,0.498,
2010-09,0.536,
2010-10,0.541,
2010-11,0.588,
2010-12,0.562,
2011-01,0.569,
2011-02,0.570,
2011-03,0.533,
2011-04,0.513,
2011-05,0.599,
2011-06,0.579,
2011-07,0.534,
2011-08,0.480,
2011-09,0.548,
2011-10,0.553,
2011-11,0.532,
2011-12,0.544,
2012-01,0.516,
2012-02,0.554,
2012-03,0.566,
2012-04,0.550,
2012-05,0.566,
2012-06,0.581,
2012-07,0.533,
2012-08,0.522,
2012-09,0.621,
2012-10,0.568,
2012-11,0.540,
2012-12,0.603,
2013-01,0.554,
2013-02,0.475,
2013-03,0.493,
2013-04,0.454,
2013-05,0.594,
2013-06,0.499,
2013-07,0.451,
2013-08,0.476,
2013-09,0.482,
2013-10,0.505,
2013-11,0.515,
2013-12,0.558,
2014-01,0.484,
2014-02,0.479,
2014-03,0.497,
2014-04,0.470,
2014-05,0.487,
2014-06,0.508,
2014-07,0.456,
2014-08,0.460,
2014-09,0.491,
2014-10,0.546,
2014-11,0.468,
2014-12,0.497,
