"",BBEX3.M.SVC.USD.CA.AC.A01,BBEX3.M.SVC.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in El Salvador / USD 1 = SVC ... (middle),
unit,SVC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:10,
1991-01,8.065,
1991-02,8.030,
1991-03,7.995,
1991-04,7.995,
1991-05,7.995,
1991-06,8.010,
1991-07,8.010,
1991-08,8.010,
1991-09,8.000,
1991-10,8.130,
1991-11,8.140,
1991-12,8.135,
1992-01,8.135,
1992-02,8.160,
1992-03,8.200,
1992-04,8.195,
1992-05,8.195,
1992-06,8.295,comment
1992-07,8.355,
1992-08,8.495,
1992-09,8.590,
1992-10,8.750,
1992-11,9.385,
1992-12,8.575,
1993-01,8.805,
1993-02,8.755,
1993-03,8.760,
1993-04,8.740,
1993-05,8.740,
1993-06,8.760,
1993-07,8.730,
1993-08,8.685,
1993-09,8.705,
1993-10,8.710,
1993-11,8.725,
1993-12,8.710,
1994-01,8.750,
1994-02,8.750,
1994-03,8.745,comment
1994-04,8.750,
1994-05,8.745,
1994-06,8.750,
1994-07,8.745,
1994-08,8.745,
1994-09,8.750,
1994-10,8.755,
1994-11,8.765,
1994-12,8.760,
1995-01,8.760,
1995-02,8.760,
1995-03,8.755,
1995-04,8.750,
1995-05,8.750,
1995-06,8.755,
1995-07,8.755,
1995-08,8.755,
1995-09,8.755,
1995-10,8.755,
1995-11,8.755,
1995-12,8.755,
1996-01,8.755,
1996-02,8.755,
1996-03,8.755,
1996-04,8.755,
1996-05,8.755,
1996-06,8.755,
1996-07,8.755,
1996-08,8.755,
1996-09,8.755,
1996-10,8.755,
1996-11,8.755,
1996-12,8.755,
1997-01,8.755,
1997-02,8.755,
1997-03,8.755,
1997-04,8.755,
1997-05,8.755,
1997-06,8.755,
1997-07,8.755,
1997-08,8.755,
1997-09,8.755,
1997-10,8.755,
1997-11,8.755,
1997-12,8.755,
1998-01,8.755,
1998-02,8.755,
1998-03,8.755,
1998-04,8.755,
1998-05,8.755,
1998-06,8.755,
1998-07,8.755,
1998-08,8.755,
1998-09,8.755,
1998-10,8.755,
1998-11,8.755,
1998-12,8.755,
1999-01,8.755,
1999-02,8.755,
1999-03,8.755,
1999-04,8.755,
1999-05,8.755,
1999-06,8.755,
1999-07,8.755,
1999-08,8.755,
1999-09,8.755,
1999-10,8.755,
1999-11,8.755,
1999-12,8.755,
2000-01,8.755,
2000-02,8.755,
2000-03,8.755,
2000-04,8.755,
2000-05,8.755,
2000-06,8.755,
2000-07,8.755,
2000-08,8.755,
2000-09,8.755,
2000-10,8.755,
2000-11,8.755,
2000-12,8.755,
2001-01,8.750,
2001-02,8.750,
2001-03,8.750,
2001-04,8.750,
2001-05,8.750,
2001-06,8.750,
2001-07,8.750,
2001-08,8.750,
2001-09,8.750,
2001-10,8.750,
2001-11,8.750,
2001-12,8.750,
2002-01,8.750,
2002-02,8.750,
2002-03,8.750,
2002-04,8.750,
2002-05,8.750,
2002-06,8.750,
2002-07,8.750,
2002-08,8.750,
2002-09,8.750,
2002-10,8.750,
2002-11,8.750,
2002-12,8.750,
2003-01,8.750,
2003-02,8.750,
2003-03,8.750,
2003-04,8.750,
2003-05,8.750,
2003-06,8.750,
2003-07,8.750,
2003-08,8.750,
2003-09,8.750,
2003-10,8.750,
2003-11,8.750,
2003-12,8.750,
2004-01,8.750,
2004-02,8.750,
2004-03,8.750,
2004-04,8.750,
2004-05,8.750,
2004-06,8.750,
2004-07,8.750,
2004-08,8.750,
2004-09,8.750,
2004-10,8.750,
2004-11,8.750,
2004-12,8.750,
2005-01,8.750,
2005-02,8.750,
2005-03,8.750,
2005-04,8.750,
2005-05,8.750,
2005-06,8.750,
2005-07,8.750,
2005-08,8.750,
2005-09,8.750,
2005-10,8.750,
2005-11,8.750,
2005-12,8.750,
2006-01,8.750,
2006-02,8.750,
2006-03,8.750,
2006-04,8.750,
2006-05,8.750,
2006-06,8.750,
2006-07,8.750,
2006-08,8.750,
2006-09,8.750,
2006-10,8.750,
2006-11,8.750,
2006-12,8.750,
2007-01,8.750,
2007-02,8.750,
2007-03,8.750,
2007-04,8.750,
2007-05,8.750,
2007-06,8.750,
2007-07,8.750,
2007-08,8.750,
2007-09,8.750,
2007-10,8.750,
2007-11,8.750,
2007-12,8.750,
2008-01,8.750,
2008-02,8.750,
2008-03,8.750,
